"blast_unfilt_fam","blast_unfilt_genus_species","blast_filt_fam","blast_filt_genus_species","source","note","Oceanic_region","commentary","ngs_metabarcode_libr_nm","seq.rd.cnt"
"Acanthuridae","Acanthurus sohal","none","none","unfilt_all",NA,NA,NA,"b014",49
"Platytroctidae","Maulisia mauli","none","none","unfilt_all",NA,NA,NA,"b014",41
"Carangidae","Scomberoides commersonnianus","none","none","unfilt_all",NA,NA,NA,"b014",15
"Kyphosidae","Kyphosus cinerascens","Scombridae","Auxis rochei","unfilt_all",NA,NA,NA,"b014",92
"Kyphosidae","Kyphosus vaigiensis","Mullidae","Mullus surmuletus","unfilt_all",NA,NA,NA,"b014",21
"Gobiidae","Gobiusculus flavescens","Gobiidae","Gobiusculus flavescens","unfilt_all",NA,NA,NA,"b014",96
"Gobiidae","Neogobius melanostomus","Gobiidae","Neogobius melanostomus","unfilt_all",NA,NA,NA,"b014",167
"Labridae","Scarus aff. ghobban OM","none","none","unfilt_all",NA,NA,NA,"b014",39
"Labridae","Scarus ferrugineus","none","none","unfilt_all",NA,NA,NA,"b014",91
"Labridae","Scarus russelii","none","none","unfilt_all",NA,NA,NA,"b014",42
"Haemulidae","Plectorhinchus gaterinus","none","none","unfilt_all",NA,NA,NA,"b014",54
"Haemulidae","Plectorhinchus schotaf","none","none","unfilt_all",NA,NA,NA,"b014",70
"Lutjanidae","Lutjanus argentimaculatus","Polyprionidae","Polyprion americanus","unfilt_all",NA,NA,NA,"b014",131
"Myctophidae","Lampanyctus crocodilus","none","none","unfilt_all",NA,NA,NA,"b014",57
"Monodactylidae","Monodactylus argenteus","Polyprionidae","Polyprion americanus","unfilt_all",NA,NA,NA,"b014",22
"Pomacanthidae","Pomacanthus maculosus","none","none","unfilt_all",NA,NA,NA,"b014",89
"Sphyraenidae","Sphyraena jello","none","none","unfilt_all",NA,NA,NA,"b014",34
"Gasterosteidae","Gasterosteus aculeatus","Gasterosteidae","Gasterosteus aculeatus","unfilt_all",NA,NA,NA,"b014",177
"Liparidae","Psednos groenlandicus","Liparidae","Liparis montagui","unfilt_all",NA,NA,NA,"b014",14
"Percidae","Perca fluviatilis","Polyprionidae","Polyprion americanus","unfilt_all",NA,NA,NA,"b014",244
"Scorpaenidae","Pterois russelii","Sebastidae","Helicolenus dactylopterus","unfilt_all",NA,NA,NA,"b014",12
"Serranidae","Cephalopholis hemistiktos","none","none","unfilt_all",NA,NA,NA,"b014",12
"Zoarcidae","Zoarces fedorovi","Zoarcidae","Zoarces viviparus","unfilt_all",NA,NA,NA,"b014",16
"Lethrinidae","Lethrinus atkinsoni","none","none","unfilt_all",NA,NA,NA,"b014",61
"Lethrinidae","Lethrinus nebulosus","none","none","unfilt_all",NA,NA,NA,"b014",150
"Lethrinidae","Lethrinus nebulosus","Anarhichadidae","Anarhichas lupus","unfilt_all",NA,NA,NA,"b014",150
"Sparidae","Acanthopagrus bifasciatus","Sparidae","Sparus aurata","unfilt_all",NA,NA,NA,"b014",14
"Mullidae","Parupeneus multifasciatus","Scombridae","Euthynnus alletteratus","unfilt_all",NA,NA,NA,"b014",28
"Syngnathidae","Syngnathus abaster","Syngnathidae","Syngnathus typhle","unfilt_all",NA,NA,NA,"b014",80
"Ammodytidae","Hyperoplus lanceolatus","Ammodytidae","Hyperoplus lanceolatus","unfilt_all",NA,NA,NA,"b014",12
"Candidatus Nanosynbacteraceae","Candidatus Nanosynbacter lyticus","none","none","unfilt_all",NA,NA,NA,"b014",93
"Carcharhinidae","Carcharhinus plumbeus","Carcharhinidae","Prionace glauca","unfilt_all",NA,NA,NA,"b014",79
"Potamotrygonidae","Taeniura meyeni","Dasyatidae","Dasyatis pastinaca","unfilt_all",NA,NA,NA,"b014",95
"Ginglymostomatidae","Nebrius ferrugineus","Alopiidae","Cetorhinus maximus","unfilt_all",NA,NA,NA,"b014",76
"Rhinobatidae","Rhinobatos hynnicephalus","none","none","unfilt_all",NA,NA,NA,"b014",25
"Rhynchobatidae","Rhynchobatus australiae","none","none","unfilt_all",NA,NA,NA,"b014",12
"none","none","none","none","unfilt_all",NA,NA,NA,"b014",1956
"none","uncultured organism","none","none","unfilt_all",NA,NA,NA,"b014",15
"Synechococcaceae","Synechococcus rubescens","none","none","unfilt_all",NA,NA,NA,"b014",60
"Chlorellaceae","Chlorella vulgaris","none","none","unfilt_all",NA,NA,NA,"b014",184
"Chlorellaceae","Marvania geminata","none","none","unfilt_all",NA,NA,NA,"b014",583
"Kyphosidae","Kyphosus cinerascens","Scombridae","Auxis rochei","filt_excl_none",NA,NA,NA,"b014",92
"Kyphosidae","Kyphosus vaigiensis","Mullidae","Mullus surmuletus","filt_excl_none",NA,NA,NA,"b014",21
"Gobiidae","Gobiusculus flavescens","Gobiidae","Gobiusculus flavescens","filt_excl_none",NA,NA,NA,"b014",96
"Gobiidae","Neogobius melanostomus","Gobiidae","Neogobius melanostomus","filt_excl_none",NA,NA,NA,"b014",167
"Lutjanidae","Lutjanus argentimaculatus","Polyprionidae","Polyprion americanus","filt_excl_none",NA,NA,NA,"b014",131
"Monodactylidae","Monodactylus argenteus","Polyprionidae","Polyprion americanus","filt_excl_none",NA,NA,NA,"b014",22
"Gasterosteidae","Gasterosteus aculeatus","Gasterosteidae","Gasterosteus aculeatus","filt_excl_none",NA,NA,NA,"b014",177
"Liparidae","Psednos groenlandicus","Liparidae","Liparis montagui","filt_excl_none",NA,NA,NA,"b014",14
"Percidae","Perca fluviatilis","Polyprionidae","Polyprion americanus","filt_excl_none",NA,NA,NA,"b014",244
"Scorpaenidae","Pterois russelii","Sebastidae","Helicolenus dactylopterus","filt_excl_none",NA,NA,NA,"b014",12
"Zoarcidae","Zoarces fedorovi","Zoarcidae","Zoarces viviparus","filt_excl_none",NA,NA,NA,"b014",16
"Lethrinidae","Lethrinus nebulosus","Anarhichadidae","Anarhichas lupus","filt_excl_none",NA,NA,NA,"b014",150
"Sparidae","Acanthopagrus bifasciatus","Sparidae","Sparus aurata","filt_excl_none",NA,NA,NA,"b014",14
"Mullidae","Parupeneus multifasciatus","Scombridae","Euthynnus alletteratus","filt_excl_none",NA,NA,NA,"b014",28
"Syngnathidae","Syngnathus abaster","Syngnathidae","Syngnathus typhle","filt_excl_none",NA,NA,NA,"b014",80
"Ammodytidae","Hyperoplus lanceolatus","Ammodytidae","Hyperoplus lanceolatus","filt_excl_none",NA,NA,NA,"b014",12
"Carcharhinidae","Carcharhinus plumbeus","Carcharhinidae","Prionace glauca","filt_excl_none",NA,NA,NA,"b014",79
"Potamotrygonidae","Taeniura meyeni","Dasyatidae","Dasyatis pastinaca","filt_excl_none",NA,NA,NA,"b014",95
"Ginglymostomatidae","Nebrius ferrugineus","Alopiidae","Cetorhinus maximus","filt_excl_none",NA,NA,NA,"b014",76
"Acanthuridae","Acanthurus sohal","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",49
"Platytroctidae","Maulisia mauli","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",41
"Carangidae","Scomberoides commersonnianus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",15
"Kyphosidae","Kyphosus cinerascens","Scombridae","Auxis rochei","unfilt_only_Actinopterygi",NA,NA,NA,"b014",92
"Kyphosidae","Kyphosus vaigiensis","Mullidae","Mullus surmuletus","unfilt_only_Actinopterygi",NA,NA,NA,"b014",21
"Gobiidae","Gobiusculus flavescens","Gobiidae","Gobiusculus flavescens","unfilt_only_Actinopterygi",NA,NA,NA,"b014",96
"Gobiidae","Neogobius melanostomus","Gobiidae","Neogobius melanostomus","unfilt_only_Actinopterygi",NA,NA,NA,"b014",167
"Labridae","Scarus aff. ghobban OM","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",39
"Labridae","Scarus ferrugineus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",91
"Labridae","Scarus russelii","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",42
"Haemulidae","Plectorhinchus gaterinus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",54
"Haemulidae","Plectorhinchus schotaf","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",70
"Lutjanidae","Lutjanus argentimaculatus","Polyprionidae","Polyprion americanus","unfilt_only_Actinopterygi",NA,NA,NA,"b014",131
"Myctophidae","Lampanyctus crocodilus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",57
"Monodactylidae","Monodactylus argenteus","Polyprionidae","Polyprion americanus","unfilt_only_Actinopterygi",NA,NA,NA,"b014",22
"Pomacanthidae","Pomacanthus maculosus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",89
"Sphyraenidae","Sphyraena jello","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",34
"Gasterosteidae","Gasterosteus aculeatus","Gasterosteidae","Gasterosteus aculeatus","unfilt_only_Actinopterygi",NA,NA,NA,"b014",177
"Liparidae","Psednos groenlandicus","Liparidae","Liparis montagui","unfilt_only_Actinopterygi",NA,NA,NA,"b014",14
"Percidae","Perca fluviatilis","Polyprionidae","Polyprion americanus","unfilt_only_Actinopterygi",NA,NA,NA,"b014",244
"Scorpaenidae","Pterois russelii","Sebastidae","Helicolenus dactylopterus","unfilt_only_Actinopterygi",NA,NA,NA,"b014",12
"Serranidae","Cephalopholis hemistiktos","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",12
"Zoarcidae","Zoarces fedorovi","Zoarcidae","Zoarces viviparus","unfilt_only_Actinopterygi",NA,NA,NA,"b014",16
"Lethrinidae","Lethrinus atkinsoni","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b014",61
