"blast_unfilt_fam","blast_unfilt_genus_species","blast_filt_fam","blast_filt_genus_species","source","note","Oceanic_region","commentary","ngs_metabarcode_libr_nm","seq.rd.cnt"
"Ilumatobacteraceae","Ilumatobacter nonamiensis","none","none","unfilt_all",NA,NA,NA,"b012",83
"none","Acidimicrobidae bacterium YM18-244","none","none","unfilt_all",NA,NA,NA,"b012",248
"Acidothermaceae","Acidothermus cellulolyticus","none","none","unfilt_all",NA,NA,NA,"b012",444
"Acidothermaceae","uncultured Acidothermus sp.","none","none","unfilt_all",NA,NA,NA,"b012",265
"Microbacteriaceae","Candidatus Aquiluna rubra","none","none","unfilt_all",NA,NA,NA,"b012",2094
"Micromonosporaceae","uncultured Actinoplanes sp.","none","none","unfilt_all",NA,NA,NA,"b012",42
"none","actinobacterium CH9","none","none","unfilt_all",NA,NA,NA,"b012",23
"none","actinobacterium enrichment culture clone LiUU-12-58","none","none","unfilt_all",NA,NA,NA,"b012",750
"none","actinobacterium SCGC AAA001-B19","none","none","unfilt_all",NA,NA,NA,"b012",409
"none","actinobacterium SCGC AAA001-F21","none","none","unfilt_all",NA,NA,NA,"b012",14
"none","actinobacterium SCGC AAA027-D23","none","none","unfilt_all",NA,NA,NA,"b012",825
"none","actinobacterium SCGC AAA027-E14","none","none","unfilt_all",NA,NA,NA,"b012",1266
"none","actinobacterium SCGC AAA027-F04","none","none","unfilt_all",NA,NA,NA,"b012",25
"none","actinobacterium SCGC AAA027-I20","none","none","unfilt_all",NA,NA,NA,"b012",72
"none","actinobacterium SCGC AAA041-F07","none","none","unfilt_all",NA,NA,NA,"b012",170
"none","actinobacterium SCGC AAA043-I09","none","none","unfilt_all",NA,NA,NA,"b012",1027
"none","actinobacterium SCGC AAA043-L13","none","none","unfilt_all",NA,NA,NA,"b012",139
"none","actinobacterium SCGC AAA044-F19","none","none","unfilt_all",NA,NA,NA,"b012",54
"none","actinobacterium SCGC AAA278-C06","none","none","unfilt_all",NA,NA,NA,"b012",698
"none","actinobacterium SCGC AAA278-M15","none","none","unfilt_all",NA,NA,NA,"b012",521
"none","actinobacterium SCGC AAA278-P20","none","none","unfilt_all",NA,NA,NA,"b012",2996
