"blast_unfilt_fam","blast_unfilt_genus_species","blast_filt_fam","blast_filt_genus_species","source","note","Oceanic_region","commentary","ngs_metabarcode_libr_nm","seq.rd.cnt"
"none","uncultured actinobacterium","none","none","unfilt_all",NA,NA,NA,"b012",21
"Pseudonocardiaceae","Saccharomonospora sp. MSI039","none","none","unfilt_all",NA,NA,NA,"b012",59
"Acanthuridae","Acanthurus olivaceus","none","none","unfilt_all",NA,NA,NA,"b012",132
"Alepocephalidae","Alepocephalus agassizii","none","none","unfilt_all",NA,NA,NA,"b012",18
"Platytroctidae","Maulisia mauli","none","none","unfilt_all",NA,NA,NA,"b012",120
"Carangidae","Scomberoides commersonnianus","none","none","unfilt_all",NA,NA,NA,"b012",33
"Kyphosidae","Kyphosus elegans","Scombridae","Thunnus thynnus","unfilt_all",NA,NA,NA,"b012",375
"Clupeidae","Sardinella longiceps","none","none","unfilt_all",NA,NA,NA,"b012",13
"Gobiidae","Gobius niger","Gobiidae","Gobius niger","unfilt_all",NA,NA,NA,"b012",892
"Gobiidae","Nemateleotris magnifica","Pleuronectidae","Hippoglossus hippoglossus","unfilt_all",NA,NA,NA,"b012",362
"Gobiidae","Pomatoschistus minutus","Gobiidae","Pomatoschistus minutus","unfilt_all",NA,NA,NA,"b012",700
"Labridae","Scarus dimidiatus","none","none","unfilt_all",NA,NA,NA,"b012",374
"Labridae","Scarus forsteni","none","none","unfilt_all",NA,NA,NA,"b012",47
"Labridae","Scarus rubroviolaceus","none","none","unfilt_all",NA,NA,NA,"b012",111
"Labridae","Scarus schlegeli","none","none","unfilt_all",NA,NA,NA,"b012",59
"Haemulidae","Plectorhinchus chaetodonoides","Molidae","Mola mola","unfilt_all",NA,NA,NA,"b012",78
"Haemulidae","Plectorhinchus flavomaculatus","Molidae","Mola mola","unfilt_all",NA,NA,NA,"b012",287
"Lutjanidae","Lutjanus argentimaculatus","none","none","unfilt_all",NA,NA,NA,"b012",378
"Lutjanidae","Pristipomoides typus","none","none","unfilt_all",NA,NA,NA,"b012",16
"Myctophidae","Lampanyctus macdonaldi","none","none","unfilt_all",NA,NA,NA,"b012",377
"Monodactylidae","Monodactylus argenteus","none","none","unfilt_all",NA,NA,NA,"b012",59
"Moronidae","Dicentrarchus labrax","none","none","unfilt_all",NA,NA,NA,"b012",15
"Pomacanthidae","Pomacanthus xanthometopon","none","none","unfilt_all",NA,NA,NA,"b012",373
"Pomacentridae","Neoglyphidodon oxyodon","none","none","unfilt_all",NA,NA,NA,"b012",100
"Gasterosteidae","Gasterosteus aculeatus","Gasterosteidae","Gasterosteus aculeatus","unfilt_all",NA,NA,NA,"b012",345
"Liparidae","Psednos groenlandicus","none","none","unfilt_all",NA,NA,NA,"b012",69
"Pholidae","Pholis crassispina","Anarhichadidae","Anarhichas lupus","unfilt_all",NA,NA,NA,"b012",670
"Serranidae","Cephalopholis aurantia","none","none","unfilt_all",NA,NA,NA,"b012",22
"Zoarcidae","Bothrocara zestum","Anarhichadidae","Anarhichas lupus","unfilt_all",NA,NA,NA,"b012",983
"Pleuronectidae","Reinhardtius hippoglossoides","none","none","unfilt_all",NA,NA,NA,"b012",13
"Scombridae","Scomberomorus munroi x Scomberomorus semifasciatus","none","none","unfilt_all",NA,NA,NA,"b012",14
"Lethrinidae","Lethrinus atkinsoni","Cyclopteridae","Cyclopterus lumpus","unfilt_all",NA,NA,NA,"b012",196
"Lethrinidae","Lethrinus microdon","none","none","unfilt_all",NA,NA,NA,"b012",14
"Lethrinidae","Lethrinus nebulosus","Cyclopteridae","Cyclopterus lumpus","unfilt_all",NA,NA,NA,"b012",379
"Lethrinidae","Lethrinus nebulosus","none","none","unfilt_all",NA,NA,NA,"b012",379
"Sparidae","Rhabdosargus sarba","Molidae","Mola mola","unfilt_all",NA,NA,NA,"b012",13
"Mullidae","Parupeneus indicus","none","none","unfilt_all",NA,NA,NA,"b012",24
"Caulobacteraceae","Brevundimonas vesicularis","none","none","unfilt_all",NA,NA,NA,"b012",87
"Caulobacteraceae","uncultured Brevundimonas sp.","none","none","unfilt_all",NA,NA,NA,"b012",78
"Emcibacteraceae","Emcibacter sp.","none","none","unfilt_all",NA,NA,NA,"b012",50
"Candidatus Hepatincolaceae","Candidatus Hepatincola porcellionum","none","none","unfilt_all",NA,NA,NA,"b012",40
"Holosporaceae","Candidatus Gortzia infectiva","none","none","unfilt_all",NA,NA,NA,"b012",213
"Holosporaceae","Candidatus Gortzia shahrazadis","none","none","unfilt_all",NA,NA,NA,"b012",920
"Holosporaceae","endosymbiont of Acanthamoeba sp. UWC8","none","none","unfilt_all",NA,NA,NA,"b012",16
"Holosporaceae","Holospora obtusa","none","none","unfilt_all",NA,NA,NA,"b012",238
"Amorphaceae","Acuticoccus yangtzensis","none","none","unfilt_all",NA,NA,NA,"b012",48
"Beijerinckiaceae","Methylocella silvestris","none","none","unfilt_all",NA,NA,NA,"b012",25
"Brucellaceae","Ochrobactrum sp.","none","none","unfilt_all",NA,NA,NA,"b012",28
"Hyphomicrobiaceae","Hyphomicrobium hollandicum","none","none","unfilt_all",NA,NA,NA,"b012",28
"Hyphomicrobiaceae","Methyloceanibacter caenitepidi","none","none","unfilt_all",NA,NA,NA,"b012",21
"Hyphomicrobiaceae","Rhodomicrobium vannielii","none","none","unfilt_all",NA,NA,NA,"b012",21
"Hyphomicrobiaceae","uncultured Hyphomicrobium sp.","none","none","unfilt_all",NA,NA,NA,"b012",21
"Parvibaculaceae","Anderseniella sp.","none","none","unfilt_all",NA,NA,NA,"b012",14
"Phyllobacteriaceae","Aminobacter aminovorans","none","none","unfilt_all",NA,NA,NA,"b012",129
"Phyllobacteriaceae","Hoeflea sp. S1.5","none","none","unfilt_all",NA,NA,NA,"b012",17
"Hyphomonadaceae","Hyphomonadaceae bacterium JC2234","none","none","unfilt_all",NA,NA,NA,"b012",73
"Hyphomonadaceae","Hyphomonas sp. DG1448","none","none","unfilt_all",NA,NA,NA,"b012",79
"Hyphomonadaceae","Ponticaulis koreensis","none","none","unfilt_all",NA,NA,NA,"b012",33
"Robiginitomaculaceae","Hellea balneolensis","none","none","unfilt_all",NA,NA,NA,"b012",369
"Robiginitomaculaceae","Litorimonas taeanensis","none","none","unfilt_all",NA,NA,NA,"b012",17
"Robiginitomaculaceae","Robiginitomaculum antarcticum","none","none","unfilt_all",NA,NA,NA,"b012",26
"none","alpha proteobacterium SCGC AAA008-G20","none","none","unfilt_all",NA,NA,NA,"b012",14
"none","alpha proteobacterium SCGC AAA015-B23","none","none","unfilt_all",NA,NA,NA,"b012",49
"none","alpha proteobacterium SCGC AAA076-E09","none","none","unfilt_all",NA,NA,NA,"b012",313
"none","alpha proteobacterium SCGC AAA076-I20","none","none","unfilt_all",NA,NA,NA,"b012",217
"none","alpha proteobacterium SCGC AAA158-B04","none","none","unfilt_all",NA,NA,NA,"b012",382
"none","alpha proteobacterium SCGC AAA158-E02","none","none","unfilt_all",NA,NA,NA,"b012",44
"none","alpha proteobacterium SCGC AAA160-B02","none","none","unfilt_all",NA,NA,NA,"b012",35
"none","alpha proteobacterium SCGC AAA160-M08","none","none","unfilt_all",NA,NA,NA,"b012",92
"none","alpha proteobacterium SCGC AAA166-J08","none","none","unfilt_all",NA,NA,NA,"b012",36
"none","alpha proteobacterium SCGC AAA300-M14","none","none","unfilt_all",NA,NA,NA,"b012",57
"none","alpha proteobacterium wj05","none","none","unfilt_all",NA,NA,NA,"b012",156
"none","alpha proteobacterium Z2","none","none","unfilt_all",NA,NA,NA,"b012",74
"none","Alphaproteobacteria bacterium GUDS1251","none","none","unfilt_all",NA,NA,NA,"b012",85
"none","endosymbiont of Chlamys farreri","none","none","unfilt_all",NA,NA,NA,"b012",136
"none","marine alpha proteobacterium RS.Sph.017","none","none","unfilt_all",NA,NA,NA,"b012",169
"none","uncultured Alphaproteobacteria bacterium","none","none","unfilt_all",NA,NA,NA,"b012",56
"Parvularculaceae","Aquisalinus flavus","none","none","unfilt_all",NA,NA,NA,"b012",14
"Pelagibacteraceae","alpha proteobacterium HIMB59","none","none","unfilt_all",NA,NA,NA,"b012",1791
"none","Rhodobacterales bacterium CB1049","none","none","unfilt_all",NA,NA,NA,"b012",104
"Rhodobacteraceae","Frigidibacter mobilis","none","none","unfilt_all",NA,NA,NA,"b012",32
"Rhodobacteraceae","Planktomarina temperata","none","none","unfilt_all",NA,NA,NA,"b012",14
"Rhodobacteraceae","Rhodobacter sp. CR07-44","none","none","unfilt_all",NA,NA,NA,"b012",39
"Rhodobacteraceae","Rhodobacteraceae bacterium D7018","none","none","unfilt_all",NA,NA,NA,"b012",51
"Rhodobacteraceae","Rhodobacteraceae bacterium enrichment culture DGGE band M81B14","none","none","unfilt_all",NA,NA,NA,"b012",165
"Rhodobacteraceae","Rhodobacteraceae bacterium MOLA 108","none","none","unfilt_all",NA,NA,NA,"b012",1033
"Rhodobacteraceae","Rhodobacteraceae bacterium Ph113","none","none","unfilt_all",NA,NA,NA,"b012",86
"Roseobacteraceae","Antarctobacter sp. MED483","none","none","unfilt_all",NA,NA,NA,"b012",65
"Roseobacteraceae","Dinoroseobacter shibae","none","none","unfilt_all",NA,NA,NA,"b012",30
"Roseobacteraceae","Donghicola eburneus","none","none","unfilt_all",NA,NA,NA,"b012",98
"Roseobacteraceae","Litoreibacter albidus","none","none","unfilt_all",NA,NA,NA,"b012",1055
"Roseobacteraceae","Loktanella sp. WM1","none","none","unfilt_all",NA,NA,NA,"b012",340
"Roseobacteraceae","Marinovum algicola","none","none","unfilt_all",NA,NA,NA,"b012",436
"Roseobacteraceae","Pelagicola sp.","none","none","unfilt_all",NA,NA,NA,"b012",178
"Roseobacteraceae","Roseobacter sp. WM2","none","none","unfilt_all",NA,NA,NA,"b012",1280
"Roseobacteraceae","Ruegeria sp.","none","none","unfilt_all",NA,NA,NA,"b012",14
"Roseobacteraceae","Thalassobius sp. NF3-8","none","none","unfilt_all",NA,NA,NA,"b012",92
"Rhodospirillaceae","Haematospirillum jordaniae","none","none","unfilt_all",NA,NA,NA,"b012",15
"Thalassobaculaceae","Thalassobaculum salexigens","none","none","unfilt_all",NA,NA,NA,"b012",17
"Thalassospiraceae","Magnetovibrio blakemorei","none","none","unfilt_all",NA,NA,NA,"b012",78
"none","Sinorickettsia chlamys","none","none","unfilt_all",NA,NA,NA,"b012",44
"Rickettsiaceae","Candidatus Megaira polyxenophila","none","none","unfilt_all",NA,NA,NA,"b012",59
"Rickettsiaceae","Candidatus Rickettsia mendelii","none","none","unfilt_all",NA,NA,NA,"b012",14
"Rickettsiaceae","Rickettsia endosymbiont of Bemisia tabaci","none","none","unfilt_all",NA,NA,NA,"b012",36
"Erythrobacteraceae","Altererythrobacter ishigakiensis","none","none","unfilt_all",NA,NA,NA,"b012",482
"Erythrobacteraceae","Altererythrobacter sp. kmb64","none","none","unfilt_all",NA,NA,NA,"b012",49
"Erythrobacteraceae","Croceicoccus marinus","none","none","unfilt_all",NA,NA,NA,"b012",24
"Erythrobacteraceae","Erythrobacter sp.","none","none","unfilt_all",NA,NA,NA,"b012",447
"Erythrobacteraceae","Erythrobacter sp. enrichment culture clone NE-2","none","none","unfilt_all",NA,NA,NA,"b012",55
"Erythrobacteraceae","Erythrobacter sp. MBIC3019","none","none","unfilt_all",NA,NA,NA,"b012",29
"Erythrobacteraceae","Erythrobacter sp. MOLA 311","none","none","unfilt_all",NA,NA,NA,"b012",35
"Erythrobacteraceae","Pontixanthobacter gangjinensis","none","none","unfilt_all",NA,NA,NA,"b012",41
"Sphingomonadaceae","Novosphingobium marinum","none","none","unfilt_all",NA,NA,NA,"b012",106
"Sphingomonadaceae","Novosphingobium subterraneum","none","none","unfilt_all",NA,NA,NA,"b012",28
"Sphingomonadaceae","Novosphingopyxis baekryungensis","none","none","unfilt_all",NA,NA,NA,"b012",53
"Sphingomonadaceae","Sphingomonas sp. C0503","none","none","unfilt_all",NA,NA,NA,"b012",100
"Sphingomonadaceae","Sphingopyxis sp.","none","none","unfilt_all",NA,NA,NA,"b012",93
"Anaerolineaceae","Pelolinea submarina","none","none","unfilt_all",NA,NA,NA,"b012",22
"Bacillariaceae","Cylindrotheca closterium","none","none","unfilt_all",NA,NA,NA,"b012",25
"Gomphonemataceae","Didymosphenia geminata","none","none","unfilt_all",NA,NA,NA,"b012",193
"Phaeodactylaceae","Phaeodactylum tricornutum","none","none","unfilt_all",NA,NA,NA,"b012",57
"Aerococcaceae","Aerococcus viridans","none","none","unfilt_all",NA,NA,NA,"b012",14
"Porphyridiaceae","Porphyridium purpureum","none","none","unfilt_all",NA,NA,NA,"b012",37
"Alcaligenaceae","Achromobacter sp. TH195","none","none","unfilt_all",NA,NA,NA,"b012",58
"Alcaligenaceae","Bordetella bronchiseptica","none","none","unfilt_all",NA,NA,NA,"b012",39
"Alcaligenaceae","Bordetella sp. MOLA 453","none","none","unfilt_all",NA,NA,NA,"b012",742
"Burkholderiaceae","Formosimonas limnophila","none","none","unfilt_all",NA,NA,NA,"b012",27
"Burkholderiaceae","Limnobacter litoralis","none","none","unfilt_all",NA,NA,NA,"b012",18
"Burkholderiaceae","Ralstonia solanacearum","none","none","unfilt_all",NA,NA,NA,"b012",161
"Comamonadaceae","Limnohabitans sp.","none","none","unfilt_all",NA,NA,NA,"b012",101
"Comamonadaceae","uncultured Comamonadaceae bacterium","none","none","unfilt_all",NA,NA,NA,"b012",69
"none","Burkholderiales bacterium","none","none","unfilt_all",NA,NA,NA,"b012",14
"none","Burkholderiales bacterium LSUCC0118","none","none","unfilt_all",NA,NA,NA,"b012",130
"Methylophilaceae","Methylophilaceae bacterium NB0001","none","none","unfilt_all",NA,NA,NA,"b012",257
"Methylophilaceae","Methylophilaceae bacterium NB0007","none","none","unfilt_all",NA,NA,NA,"b012",254
"Methylophilaceae","Methylophilaceae bacterium NB0048_01","none","none","unfilt_all",NA,NA,NA,"b012",334
"none","beta proteobacterium BAL58","none","none","unfilt_all",NA,NA,NA,"b012",392
"none","beta proteobacterium Mzo1","none","none","unfilt_all",NA,NA,NA,"b012",21
"none","beta proteobacterium Z11","none","none","unfilt_all",NA,NA,NA,"b012",39
"none","humic substances enrichment clone E1","none","none","unfilt_all",NA,NA,NA,"b012",393
"none","uncultured beta proteobacterium","none","none","unfilt_all",NA,NA,NA,"b012",115
"none","uncultured Rhodocyclales bacterium","none","none","unfilt_all",NA,NA,NA,"b012",250
"Triparmaceae","Triparma pacifica","none","none","unfilt_all",NA,NA,NA,"b012",16
"Caldilineaceae","Caldilinea aerophila","none","none","unfilt_all",NA,NA,NA,"b012",340
"Caldilineaceae","uncultured Caldilineaceae bacterium","none","none","unfilt_all",NA,NA,NA,"b012",15
"Candidatus Babeliaceae","Candidatus Babela massiliensis","none","none","unfilt_all",NA,NA,NA,"b012",1091
"Chlamydiaceae","Candidatus Rubidus massiliensis","none","none","unfilt_all",NA,NA,NA,"b012",14
"none","Chlamydiales bacterium CRIB 32","none","none","unfilt_all",NA,NA,NA,"b012",16
"Parachlamydiaceae","Parachlamydia acanthamoebae","none","none","unfilt_all",NA,NA,NA,"b012",72
"Waddliaceae","Waddliaceae bacterium cvE65","none","none","unfilt_all",NA,NA,NA,"b012",13
"Roseiflexaceae","Kouleothrix aurantiaca","none","none","unfilt_all",NA,NA,NA,"b012",711
"Carcharhinidae","Carcharhinus albimarginatus","Carcharhinidae","Prionace glauca","unfilt_all",NA,NA,NA,"b012",376
"Carcharhinidae","Carcharhinus melanopterus","none","none","unfilt_all",NA,NA,NA,"b012",37
"Carcharhinidae","Triaenodon obesus","none","none","unfilt_all",NA,NA,NA,"b012",20
"Rhincodontidae","Rhincodon typus","none","none","unfilt_all",NA,NA,NA,"b012",372
"Rhinidae","Rhina ancylostoma","none","none","unfilt_all",NA,NA,NA,"b012",25
"Rhinobatidae","Rhinobatos schlegelii","none","none","unfilt_all",NA,NA,NA,"b012",93
"Rhynchobatidae","Rhynchobatus djiddensis","none","none","unfilt_all",NA,NA,NA,"b012",19
"Gracilibacteraceae","Gracilibacter thermotolerans","none","none","unfilt_all",NA,NA,NA,"b012",14
"Coscinodiscaceae","Coscinodiscus radiatus","none","none","unfilt_all",NA,NA,NA,"b012",34
"Thalassiosiraceae","Thalassiosira pseudonana","none","none","unfilt_all",NA,NA,NA,"b012",46
"Geminigeraceae","Teleaulax amphioxeia","none","none","unfilt_all",NA,NA,NA,"b012",61
"Trueperaceae","Truepera radiovictrix","none","none","unfilt_all",NA,NA,NA,"b012",21
"Desulfobacteraceae","Desulfatiferula sp. enrichment culture clone CIBANICRA-SRB49","none","none","unfilt_all",NA,NA,NA,"b012",19
"Desulfobacteraceae","Desulfobacteraceae bacterium enrichment culture clone MS_H2_U8","none","none","unfilt_all",NA,NA,NA,"b012",33
"Desulfobacteraceae","Desulfococcus sp. enrichment culture clone CIBANICRA-SRB57","none","none","unfilt_all",NA,NA,NA,"b012",27
"Desulfobulbaceae","Desulfobulbaceae bacterium enrichment culture clone MS_ACE_N4","none","none","unfilt_all",NA,NA,NA,"b012",60
"Desulfobulbaceae","Desulfobulbaceae bacterium enrichment culture clone MS_ACE_U20","none","none","unfilt_all",NA,NA,NA,"b012",16
"Nannocystaceae","Nannocystis pusilla","none","none","unfilt_all",NA,NA,NA,"b012",18
"none","delta proteobacterium enrichment culture clone AP-FeEnrich11","none","none","unfilt_all",NA,NA,NA,"b012",16
"none","delta proteobacterium FM1A-B3","none","none","unfilt_all",NA,NA,NA,"b012",23
"none","delta proteobacterium FM1C-A9","none","none","unfilt_all",NA,NA,NA,"b012",27
"none","delta proteobacterium RS41","none","none","unfilt_all",NA,NA,NA,"b012",17
"none","delta proteobacterium SCGC AAA166-C09","none","none","unfilt_all",NA,NA,NA,"b012",21
"none","delta proteobacterium SCGC AAA487-B23","none","none","unfilt_all",NA,NA,NA,"b012",30
"none","Olavius crassitunicatus delta-proteobacterial endosymbiont","none","none","unfilt_all",NA,NA,NA,"b012",93
"none","psychrophilic sulfate-reducing bacterium LSv55","none","none","unfilt_all",NA,NA,NA,"b012",18
"Callyspongiidae","Callyspongia plicifera","none","none","unfilt_all",NA,NA,NA,"b012",356
"Arcobacteraceae","Arcobacter sp. D2043","none","none","unfilt_all",NA,NA,NA,"b012",24
"Arcobacteraceae","Arcobacter sp. GCDN6_III","none","none","unfilt_all",NA,NA,NA,"b012",21
"Arcobacteraceae","Arcobacter sp. KT0913","none","none","unfilt_all",NA,NA,NA,"b012",60
"Sulfurovaceae","uncultured Sulfurovum sp.","none","none","unfilt_all",NA,NA,NA,"b012",26
"Thiovulaceae","Sulfurimonas sp. M74","none","none","unfilt_all",NA,NA,NA,"b012",34
"Phacaceae","Phacus platalea","none","none","unfilt_all",NA,NA,NA,"b012",18
"Phacaceae","Phacus warszewiczii","none","none","unfilt_all",NA,NA,NA,"b012",19
"Monodopsidaceae","Nannochloropsis gaditana","none","none","unfilt_all",NA,NA,NA,"b012",347
"Monodopsidaceae","Nannochloropsis limnetica","none","none","unfilt_all",NA,NA,NA,"b012",86
"Monodopsidaceae","Nannochloropsis oculata","none","none","unfilt_all",NA,NA,NA,"b012",79
"Crocinitomicaceae","Fluviicola hefeinensis","none","none","unfilt_all",NA,NA,NA,"b012",15
"Flavobacteriaceae","Coccinistipes vermicola","none","none","unfilt_all",NA,NA,NA,"b012",1136
"Flavobacteriaceae","Robiginitalea myxolifaciens","none","none","unfilt_all",NA,NA,NA,"b012",659
"none","Flavobacteriales bacterium DG1510","none","none","unfilt_all",NA,NA,NA,"b012",434
"Schleiferiaceae","Owenweeksia hongkongensis","none","none","unfilt_all",NA,NA,NA,"b012",217
"Staurosiraceae","Nanofrustulum shiloi","none","none","unfilt_all",NA,NA,NA,"b012",47
"Aeromonadaceae","Aeromonas hydrophila","none","none","unfilt_all",NA,NA,NA,"b012",30
"Alteromonadaceae","Agarivorans albus","none","none","unfilt_all",NA,NA,NA,"b012",14
"Colwelliaceae","Thalassomonas sp. UST061013-012","none","none","unfilt_all",NA,NA,NA,"b012",18
"Colwelliaceae","Thalassotalea sp. PP2-459","none","none","unfilt_all",NA,NA,NA,"b012",18
"Idiomarinaceae","Idiomarina sp.","none","none","unfilt_all",NA,NA,NA,"b012",187
"none","Motilimonas eburnea","none","none","unfilt_all",NA,NA,NA,"b012",58
"Pseudoalteromonadaceae","Pseudoalteromonas tunicata","none","none","unfilt_all",NA,NA,NA,"b012",13
"Arenicellaceae","Arenicella xantha","none","none","unfilt_all",NA,NA,NA,"b012",16
"Arenicellaceae","Perspicuibacter marinus","none","none","unfilt_all",NA,NA,NA,"b012",17
"Cardiobacteriaceae","Suttonella ornithocola","none","none","unfilt_all",NA,NA,NA,"b012",16
"Cellvibrionaceae","Marinibactrum halimedae","none","none","unfilt_all",NA,NA,NA,"b012",43
"Cellvibrionaceae","Pseudoteredinibacter isoporae","none","none","unfilt_all",NA,NA,NA,"b012",20
"Cellvibrionaceae","Saccharophagus sp. MM1-2b","none","none","unfilt_all",NA,NA,NA,"b012",18
"Cellvibrionaceae","Umboniibacter marinipuniceus","none","none","unfilt_all",NA,NA,NA,"b012",40
"Halieaceae","Haliea sp. ETY-M","none","none","unfilt_all",NA,NA,NA,"b012",1163
"Halieaceae","Halieaceae bacterium LSUCC0247","none","none","unfilt_all",NA,NA,NA,"b012",148
"Halieaceae","marine gamma proteobacterium HTCC2149","none","none","unfilt_all",NA,NA,NA,"b012",1195
"Halieaceae","marine gamma proteobacterium HTCC2223","none","none","unfilt_all",NA,NA,NA,"b012",494
"Halieaceae","marine gamma proteobacterium HTCC2246","none","none","unfilt_all",NA,NA,NA,"b012",154
"Porticoccaceae","Gammaproteobacteria bacterium LSUCC0057","none","none","unfilt_all",NA,NA,NA,"b012",26
"Porticoccaceae","marine gamma proteobacterium HTCC2290","none","none","unfilt_all",NA,NA,NA,"b012",436
"Spongiibacteraceae","Sinobacterium norvegicum","none","none","unfilt_all",NA,NA,NA,"b012",210
"Chromatiaceae","Rheinheimera sp. SW2.1","none","none","unfilt_all",NA,NA,NA,"b012",17
"Ectothiorhodospiraceae","Thiogranum longum","none","none","unfilt_all",NA,NA,NA,"b012",47
"Granulosicoccaceae","Granulosicoccus coccoides","none","none","unfilt_all",NA,NA,NA,"b012",28
"Granulosicoccaceae","Granulosicoccus sp. CMS377","none","none","unfilt_all",NA,NA,NA,"b012",65
"Granulosicoccaceae","Granulosicoccus sp. ZS4-22","none","none","unfilt_all",NA,NA,NA,"b012",24
"none","Thiohalobacter thiocyanaticus","none","none","unfilt_all",NA,NA,NA,"b012",18
"Thioprofundaceae","Thioprofundum hispidum","none","none","unfilt_all",NA,NA,NA,"b012",65
"Wenzhouxiangellaceae","Wenzhouxiangella marina","none","none","unfilt_all",NA,NA,NA,"b012",20
"Woeseiaceae","Woeseia oceani","none","none","unfilt_all",NA,NA,NA,"b012",17
"Enterobacteriaceae","Escherichia coli","none","none","unfilt_all",NA,NA,NA,"b012",277
"Coxiellaceae","Aquicella siphonis","none","none","unfilt_all",NA,NA,NA,"b012",61
"Legionellaceae","Legionella beliardensis","none","none","unfilt_all",NA,NA,NA,"b012",72
"Legionellaceae","Legionella fallonii","none","none","unfilt_all",NA,NA,NA,"b012",114
"Legionellaceae","Legionella impletisoli","none","none","unfilt_all",NA,NA,NA,"b012",29
"Legionellaceae","Legionella lytica","none","none","unfilt_all",NA,NA,NA,"b012",18
"Legionellaceae","Legionella sp. legS033","none","none","unfilt_all",NA,NA,NA,"b012",16
"Moraxellaceae","Acinetobacter baumannii","none","none","unfilt_all",NA,NA,NA,"b012",23
"Moraxellaceae","Psychrobacter celer","none","none","unfilt_all",NA,NA,NA,"b012",298
"Moraxellaceae","Psychrobacter nivimaris","none","none","unfilt_all",NA,NA,NA,"b012",199
"Moraxellaceae","Psychrobacter sp. PRwf-1","none","none","unfilt_all",NA,NA,NA,"b012",21
"none","Codakia orbicularis gill symbiont","none","none","unfilt_all",NA,NA,NA,"b012",68
"none","ectosymbiont of Gianthauma karukerense","none","none","unfilt_all",NA,NA,NA,"b012",80
"none","endosymbiont of Ridgeia piscesae","none","none","unfilt_all",NA,NA,NA,"b012",162
"none","endosymbiont of unidentified scaly snail","none","none","unfilt_all",NA,NA,NA,"b012",13
"none","gamma proteobacterium Ivo10 red","none","none","unfilt_all",NA,NA,NA,"b012",15
"none","gamma proteobacterium NEP68","none","none","unfilt_all",NA,NA,NA,"b012",61
"none","gamma proteobacterium SCGC AAA076-F07","none","none","unfilt_all",NA,NA,NA,"b012",127
"none","gamma proteobacterium SCGC AAA076-G04","none","none","unfilt_all",NA,NA,NA,"b012",382
"none","gamma proteobacterium SCGC AAA160-L02","none","none","unfilt_all",NA,NA,NA,"b012",157
"none","gamma proteobacterium SCGC AAA160-L22","none","none","unfilt_all",NA,NA,NA,"b012",23
"none","gamma proteobacterium SCGC AAA160-M14","none","none","unfilt_all",NA,NA,NA,"b012",78
"none","gamma proteobacterium SCGC AAA160-O03","none","none","unfilt_all",NA,NA,NA,"b012",112
"none","gamma proteobacterium SF293","none","none","unfilt_all",NA,NA,NA,"b012",325
"none","gamma proteobacterium SP3","none","none","unfilt_all",NA,NA,NA,"b012",22
"none","Gammaproteobacteria bacterium LSUCC0101","none","none","unfilt_all",NA,NA,NA,"b012",19
"none","Ignatzschineria sp. LA29","none","none","unfilt_all",NA,NA,NA,"b012",20
"none","marine gamma proteobacterium HTCC2089","none","none","unfilt_all",NA,NA,NA,"b012",68
"none","marine gamma proteobacterium HTCC2188","none","none","unfilt_all",NA,NA,NA,"b012",686
