"SeqNo","smpl.loc","seq.rd.cnt","blast_unfilt_class","blast_unfilt_order","blast_unfilt_fam","blast_unfilt_genus","blast_unfilt_genus_species","blast_filt_class","blast_filt_order","blast_filt_fam","blast_filt_genus","blast_filt_genus_species","blast_unfilt_class_ord_fam_gen_spc","blast_filt_class_ord_fam_gen_spc","col_filt_fam","col_unfilt_fam","col_filt_gen_spc","col_unfilt_gen_spc","col_filt_fam_mock","col_filt_gen_spc_mock","col_unfilt_fam_mock","col_unfilt_gen_spc_mock"
"seq49","MST107_DiBat_tag33",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","MST107_DiBat_tag34",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","MST109_DiBat_tag35",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","MST109_DiBat_tag36",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","MST110_DiBat_tag37",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","MST110_DiBat_tag38",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","MST221_DiBat_tag39",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","MST221_DiBat_tag40",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","MST235_DiBat_tag41",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","MST235_DiBat_tag42",1,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq49","PCMock_DiBat_tag44",23,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal","none","none","none","none","none","Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus sohal","none_none_none_none","#000004FF","#440154FF","#000004","#440154","#8B0000","#8B0000","#8B0000","#8B0000"
"seq53","MST107_DiBat_tag33",1,"Actinopteri","Alepocephaliformes","Platytroctidae","Maulisia","Maulisia mauli","none","none","none","none","none","Actinopteri_Alepocephaliformes_Platytroctidae_Maulisia mauli","none_none_none_none","#000004FF","#471264FF","#000004","#471264","#8B0000","#8B0000","#8B0000","#8B0000"
"seq53","MST107_DiBat_tag34",1,"Actinopteri","Alepocephaliformes","Platytroctidae","Maulisia","Maulisia mauli","none","none","none","none","none","Actinopteri_Alepocephaliformes_Platytroctidae_Maulisia mauli","none_none_none_none","#000004FF","#471264FF","#000004","#471264","#8B0000","#8B0000","#8B0000","#8B0000"
