"blast_unfilt_fam","blast_unfilt_genus_species","blast_filt_fam","blast_filt_genus_species","source","note","Oceanic_region","commentary","ngs_metabarcode_libr_nm","seq.rd.cnt"
"none","none","none","none","unfilt_all",NA,NA,NA,"b015",1372
"none","uncultured organism","none","none","unfilt_all",NA,NA,NA,"b015",57
"Chlorellaceae","Chlorella vulgaris","none","none","unfilt_all",NA,NA,NA,"b015",131
"Chlorellaceae","Marvania geminata","none","none","unfilt_all",NA,NA,NA,"b015",357
"Kyphosidae","Kyphosus cinerascens","Scombridae","Auxis rochei","filt_excl_none",NA,NA,NA,"b015",85
"Gobiidae","Gobius niger","Gobiidae","Gobius niger","filt_excl_none",NA,NA,NA,"b015",158
"Gobiidae","Gobiusculus flavescens","Gobiidae","Gobiusculus flavescens","filt_excl_none",NA,NA,NA,"b015",218
"Gobiidae","Neogobius melanostomus","Gobiidae","Neogobius melanostomus","filt_excl_none",NA,NA,NA,"b015",79
"Gobiidae","Pomatoschistus minutus","Gobiidae","Pomatoschistus minutus","filt_excl_none",NA,NA,NA,"b015",291
"Lutjanidae","Lutjanus argentimaculatus","Polyprionidae","Polyprion americanus","filt_excl_none",NA,NA,NA,"b015",90
"Monodactylidae","Monodactylus argenteus","Polyprionidae","Polyprion americanus","filt_excl_none",NA,NA,NA,"b015",26
"Cyclopteridae","Cyclopterus lumpus","Cyclopteridae","Cyclopterus lumpus","filt_excl_none",NA,NA,NA,"b015",91
"Percidae","Perca fluviatilis","Polyprionidae","Polyprion americanus","filt_excl_none",NA,NA,NA,"b015",14
"Zoarcidae","Zoarces fedorovi","Zoarcidae","Zoarces viviparus","filt_excl_none",NA,NA,NA,"b015",158
"Mullidae","Parupeneus multifasciatus","Scombridae","Euthynnus alletteratus","filt_excl_none",NA,NA,NA,"b015",15
"Syngnathidae","Syngnathus abaster","Syngnathidae","Syngnathus typhle","filt_excl_none",NA,NA,NA,"b015",237
"Ammodytidae","Hyperoplus lanceolatus","Ammodytidae","Hyperoplus lanceolatus","filt_excl_none",NA,NA,NA,"b015",321
"Carcharhinidae","Carcharhinus plumbeus","Carcharhinidae","Prionace glauca","filt_excl_none",NA,NA,NA,"b015",73
"Ginglymostomatidae","Nebrius ferrugineus","Alopiidae","Cetorhinus maximus","filt_excl_none",NA,NA,NA,"b015",65
"Acanthuridae","Acanthurus sohal","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",28
"Platytroctidae","Maulisia mauli","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",26
"Atherinidae","Atherinomorus sp. lacunosus-1","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",18
"Kyphosidae","Kyphosus cinerascens","Scombridae","Auxis rochei","unfilt_only_Actinopterygi",NA,NA,NA,"b015",85
"Gobiidae","Gobius niger","Gobiidae","Gobius niger","unfilt_only_Actinopterygi",NA,NA,NA,"b015",158
"Gobiidae","Gobiusculus flavescens","Gobiidae","Gobiusculus flavescens","unfilt_only_Actinopterygi",NA,NA,NA,"b015",218
"Gobiidae","Neogobius melanostomus","Gobiidae","Neogobius melanostomus","unfilt_only_Actinopterygi",NA,NA,NA,"b015",79
"Gobiidae","Pomatoschistus minutus","Gobiidae","Pomatoschistus minutus","unfilt_only_Actinopterygi",NA,NA,NA,"b015",291
"Labridae","Chlorurus capistratoides","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",13
"Labridae","Scarus ferrugineus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",83
"Labridae","Scarus russelii","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",24
"Haemulidae","Plectorhinchus schotaf","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",54
"Lutjanidae","Lutjanus argentimaculatus","Polyprionidae","Polyprion americanus","unfilt_only_Actinopterygi",NA,NA,NA,"b015",90
"Myctophidae","Lampanyctus crocodilus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",42
"Monodactylidae","Monodactylus argenteus","Polyprionidae","Polyprion americanus","unfilt_only_Actinopterygi",NA,NA,NA,"b015",26
"Pomacanthidae","Pomacanthus maculosus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",80
"Sphyraenidae","Sphyraena jello","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",21
"Cyclopteridae","Cyclopterus lumpus","Cyclopteridae","Cyclopterus lumpus","unfilt_only_Actinopterygi",NA,NA,NA,"b015",91
"Percidae","Perca fluviatilis","Polyprionidae","Polyprion americanus","unfilt_only_Actinopterygi",NA,NA,NA,"b015",14
"Serranidae","Epinephelus coioides","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",14
"Zoarcidae","Zoarces fedorovi","Zoarcidae","Zoarces viviparus","unfilt_only_Actinopterygi",NA,NA,NA,"b015",158
"Lethrinidae","Lethrinus atkinsoni","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",47
"Lethrinidae","Lethrinus nebulosus","none","none","unfilt_only_Actinopterygi",NA,NA,NA,"b015",56
"Mullidae","Parupeneus multifasciatus","Scombridae","Euthynnus alletteratus","unfilt_only_Actinopterygi",NA,NA,NA,"b015",15
"Syngnathidae","Syngnathus abaster","Syngnathidae","Syngnathus typhle","unfilt_only_Actinopterygi",NA,NA,NA,"b015",237
"Ammodytidae","Hyperoplus lanceolatus","Ammodytidae","Hyperoplus lanceolatus","unfilt_only_Actinopterygi",NA,NA,NA,"b015",321
