"blast_unfilt_fam","blast_unfilt_genus_species","blast_filt_fam","blast_filt_genus_species","source","note","Oceanic_region","commentary","ngs_metabarcode_libr_nm","seq.rd.cnt"
"Acanthuridae","Acanthurus sohal","none","none","unfilt_all",NA,NA,NA,"b015",28
"Platytroctidae","Maulisia mauli","none","none","unfilt_all",NA,NA,NA,"b015",26
"Atherinidae","Atherinomorus sp. lacunosus-1","none","none","unfilt_all",NA,NA,NA,"b015",18
"Kyphosidae","Kyphosus cinerascens","Scombridae","Auxis rochei","unfilt_all",NA,NA,NA,"b015",85
"Gobiidae","Gobius niger","Gobiidae","Gobius niger","unfilt_all",NA,NA,NA,"b015",158
"Gobiidae","Gobiusculus flavescens","Gobiidae","Gobiusculus flavescens","unfilt_all",NA,NA,NA,"b015",218
"Gobiidae","Neogobius melanostomus","Gobiidae","Neogobius melanostomus","unfilt_all",NA,NA,NA,"b015",79
"Gobiidae","Pomatoschistus minutus","Gobiidae","Pomatoschistus minutus","unfilt_all",NA,NA,NA,"b015",291
"Labridae","Chlorurus capistratoides","none","none","unfilt_all",NA,NA,NA,"b015",13
"Labridae","Scarus ferrugineus","none","none","unfilt_all",NA,NA,NA,"b015",83
"Labridae","Scarus russelii","none","none","unfilt_all",NA,NA,NA,"b015",24
"Haemulidae","Plectorhinchus schotaf","none","none","unfilt_all",NA,NA,NA,"b015",54
"Lutjanidae","Lutjanus argentimaculatus","Polyprionidae","Polyprion americanus","unfilt_all",NA,NA,NA,"b015",90
"Myctophidae","Lampanyctus crocodilus","none","none","unfilt_all",NA,NA,NA,"b015",42
"Monodactylidae","Monodactylus argenteus","Polyprionidae","Polyprion americanus","unfilt_all",NA,NA,NA,"b015",26
"Pomacanthidae","Pomacanthus maculosus","none","none","unfilt_all",NA,NA,NA,"b015",80
"Sphyraenidae","Sphyraena jello","none","none","unfilt_all",NA,NA,NA,"b015",21
"Cyclopteridae","Cyclopterus lumpus","Cyclopteridae","Cyclopterus lumpus","unfilt_all",NA,NA,NA,"b015",91
"Percidae","Perca fluviatilis","Polyprionidae","Polyprion americanus","unfilt_all",NA,NA,NA,"b015",14
"Serranidae","Epinephelus coioides","none","none","unfilt_all",NA,NA,NA,"b015",14
"Zoarcidae","Zoarces fedorovi","Zoarcidae","Zoarces viviparus","unfilt_all",NA,NA,NA,"b015",158
"Lethrinidae","Lethrinus atkinsoni","none","none","unfilt_all",NA,NA,NA,"b015",47
"Lethrinidae","Lethrinus nebulosus","none","none","unfilt_all",NA,NA,NA,"b015",56
"Mullidae","Parupeneus multifasciatus","Scombridae","Euthynnus alletteratus","unfilt_all",NA,NA,NA,"b015",15
"Syngnathidae","Syngnathus abaster","Syngnathidae","Syngnathus typhle","unfilt_all",NA,NA,NA,"b015",237
"Ammodytidae","Hyperoplus lanceolatus","Ammodytidae","Hyperoplus lanceolatus","unfilt_all",NA,NA,NA,"b015",321
"Candidatus Nanosynbacteraceae","Candidatus Nanosynbacter lyticus","none","none","unfilt_all",NA,NA,NA,"b015",52
"Carcharhinidae","Carcharhinus plumbeus","Carcharhinidae","Prionace glauca","unfilt_all",NA,NA,NA,"b015",73
"Ginglymostomatidae","Nebrius ferrugineus","Alopiidae","Cetorhinus maximus","unfilt_all",NA,NA,NA,"b015",65
"Chrysochromulinaceae","Chrysochromulina tobinii","none","none","unfilt_all",NA,NA,NA,"b015",51
"Paulinellidae","Paulinella micropora","none","none","unfilt_all",NA,NA,NA,"b015",25
"none","Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17","none","none","unfilt_all",NA,NA,NA,"b015",31
