	MST107_MiFiU_tag45	MST107_MiFiU_tag46	MST109_MiFiU_tag47	MST109_MiFiU_tag48	MST110_MiFiU_tag49	MST110_MiFiU_tag50	MST221_MiFiU_tag51	MST221_MiFiU_tag52	MST235_MiFiU_tag53	MST235_MiFiU_tag54	NC_MiFiU_tag55	PCMock_MiFiU_tag56
seq454	0	0	0	0	55	0	0	0	0	0	0	0
seq455	55	0	0	0	0	0	0	0	0	0	0	0
seq456	0	0	0	0	0	0	0	0	55	0	0	0
seq457	0	54	0	0	0	0	0	0	0	0	0	0
seq458	0	0	0	0	0	0	0	0	0	0	54	0
seq459	0	0	0	0	0	0	0	0	54	0	0	0
seq460	0	0	0	0	0	0	0	0	17	37	0	0
seq461	0	0	0	0	0	0	0	0	0	54	0	0
seq462	22	0	0	31	0	0	0	0	0	0	0	0
seq463	0	53	0	0	0	0	0	0	0	0	0	0
seq464	0	0	0	0	53	0	0	0	0	0	0	0
seq465	0	0	0	0	0	0	0	0	53	0	0	0
seq466	52	0	0	0	0	0	0	0	0	0	0	0
seq467	0	0	0	52	0	0	0	0	0	0	0	0
seq468	0	0	0	0	0	0	0	0	0	0	0	52
seq469	0	0	0	0	0	0	0	0	52	0	0	0
seq470	0	0	0	0	0	0	0	0	25	27	0	0
seq471	0	0	0	0	0	0	0	0	51	0	0	0
seq472	0	51	0	0	0	0	0	0	0	0	0	0
seq473	0	0	0	50	0	0	0	0	0	0	0	0
seq474	6	0	0	0	44	0	0	0	0	0	0	0
seq475	49	0	0	0	0	0	0	0	0	0	0	0
seq476	0	0	0	0	0	0	48	0	0	0	0	0
seq477	0	0	0	0	37	0	0	0	0	11	0	0
seq478	48	0	0	0	0	0	0	0	0	0	0	0
seq479	0	0	0	0	0	0	0	0	32	16	0	0
seq480	0	0	0	30	0	0	0	0	0	18	0	0
seq481	0	0	0	0	22	25	0	0	0	0	0	0
seq482	0	0	0	0	0	0	0	0	0	47	0	0
seq483	0	0	47	0	0	0	0	0	0	0	0	0
seq484	0	0	27	0	20	0	0	0	0	0	0	0
seq485	0	0	0	0	46	0	0	0	0	0	0	0
seq486	0	0	0	0	0	0	0	0	46	0	0	0
seq487	0	0	46	0	0	0	0	0	0	0	0	0
seq488	0	0	0	0	0	0	0	0	46	0	0	0
seq489	0	0	45	0	0	0	0	0	0	0	0	0
seq490	0	0	0	0	0	0	0	0	0	45	0	0
seq491	0	0	0	0	45	0	0	0	0	0	0	0
seq492	0	0	0	2	30	0	0	0	13	0	0	0
seq493	45	0	0	0	0	0	0	0	0	0	0	0
seq494	0	0	0	0	0	0	0	0	44	0	0	0
seq495	0	44	0	0	0	0	0	0	0	0	0	0
seq496	0	0	44	0	0	0	0	0	0	0	0	0
seq497	0	0	0	0	0	44	0	0	0	0	0	0
seq498	0	0	0	44	0	0	0	0	0	0	0	0
seq499	0	0	0	0	0	0	0	0	0	44	0	0
seq500	0	0	0	6	0	0	0	0	0	38	0	0
seq501	0	0	0	0	44	0	0	0	0	0	0	0
seq502	0	0	0	0	0	0	0	0	44	0	0	0
seq503	43	0	0	0	0	0	0	0	0	0	0	0
seq504	42	0	0	0	0	0	0	0	0	0	0	0
seq505	0	0	0	0	0	0	42	0	0	0	0	0
seq506	0	0	0	32	0	0	10	0	0	0	0	0
seq507	0	0	20	0	22	0	0	0	0	0	0	0
seq508	41	0	0	0	0	0	0	0	0	0	0	0
seq509	0	0	0	0	41	0	0	0	0	0	0	0
seq510	0	41	0	0	0	0	0	0	0	0	0	0
seq511	41	0	0	0	0	0	0	0	0	0	0	0
seq512	41	0	0	0	0	0	0	0	0	0	0	0
seq513	0	0	18	0	12	0	11	0	0	0	0	0
seq514	0	0	0	0	41	0	0	0	0	0	0	0
seq515	0	0	40	0	0	0	0	0	0	0	0	0
seq516	40	0	0	0	0	0	0	0	0	0	0	0
seq517	0	0	40	0	0	0	0	0	0	0	0	0
seq518	0	0	0	0	39	0	0	0	0	0	0	0
seq519	39	0	0	0	0	0	0	0	0	0	0	0
seq520	39	0	0	0	0	0	0	0	0	0	0	0
seq521	0	0	0	0	0	0	0	0	0	39	0	0
seq522	0	0	0	38	0	0	0	0	0	0	0	0
seq523	0	0	0	0	0	0	0	0	19	19	0	0
seq524	0	0	38	0	0	0	0	0	0	0	0	0
seq525	0	0	0	0	38	0	0	0	0	0	0	0
seq526	0	0	0	0	0	0	0	0	38	0	0	0
seq527	0	0	0	37	0	0	0	0	0	0	0	0
seq528	0	0	0	0	0	0	37	0	0	0	0	0
seq529	0	37	0	0	0	0	0	0	0	0	0	0
seq530	0	37	0	0	0	0	0	0	0	0	0	0
seq531	0	0	19	18	0	0	0	0	0	0	0	0
seq532	37	0	0	0	0	0	0	0	0	0	0	0
seq533	0	0	37	0	0	0	0	0	0	0	0	0
seq534	0	0	0	0	0	0	0	0	37	0	0	0
seq535	0	0	0	0	36	0	0	0	0	0	0	0
seq536	0	0	0	0	0	0	0	0	36	0	0	0
seq537	0	0	0	0	0	0	0	0	0	36	0	0
seq538	7	15	0	0	0	0	0	0	14	0	0	0
seq539	0	0	36	0	0	0	0	0	0	0	0	0
seq540	0	0	0	0	0	0	36	0	0	0	0	0
seq541	0	36	0	0	0	0	0	0	0	0	0	0
seq542	20	15	0	0	0	0	0	0	0	0	0	0
seq543	0	0	0	35	0	0	0	0	0	0	0	0
seq544	0	0	35	0	0	0	0	0	0	0	0	0
seq545	0	0	0	0	0	0	35	0	0	0	0	0
seq546	0	0	0	0	0	0	0	0	0	35	0	0
seq547	0	0	34	0	0	0	0	0	0	0	0	0
seq548	0	0	0	0	0	0	0	0	0	34	0	0
seq549	13	21	0	0	0	0	0	0	0	0	0	0
seq550	0	0	34	0	0	0	0	0	0	0	0	0
seq551	0	33	0	0	0	0	0	0	0	0	0	0
seq552	33	0	0	0	0	0	0	0	0	0	0	0
seq553	0	0	0	33	0	0	0	0	0	0	0	0
seq554	0	0	0	0	32	0	0	0	0	0	0	0
seq555	32	0	0	0	0	0	0	0	0	0	0	0
seq556	0	0	0	32	0	0	0	0	0	0	0	0
seq557	0	0	0	0	0	0	0	0	23	9	0	0
seq558	32	0	0	0	0	0	0	0	0	0	0	0
seq559	0	32	0	0	0	0	0	0	0	0	0	0
seq560	0	0	0	0	31	0	0	0	0	0	0	0
seq561	0	0	0	0	0	0	31	0	0	0	0	0
seq562	0	0	0	0	0	0	0	0	31	0	0	0
seq563	0	31	0	0	0	0	0	0	0	0	0	0
seq564	0	0	17	14	0	0	0	0	0	0	0	0
seq565	0	0	0	0	0	0	31	0	0	0	0	0
seq566	0	0	0	0	0	0	0	0	31	0	0	0
seq567	0	0	0	0	0	0	0	0	20	11	0	0
seq568	31	0	0	0	0	0	0	0	0	0	0	0
seq569	0	0	0	9	0	0	0	22	0	0	0	0
seq570	0	0	0	0	21	10	0	0	0	0	0	0
seq571	0	0	30	0	0	0	0	0	0	0	0	0
seq572	0	0	0	0	30	0	0	0	0	0	0	0
seq573	9	21	0	0	0	0	0	0	0	0	0	0
seq574	0	0	0	30	0	0	0	0	0	0	0	0
seq575	0	0	0	0	30	0	0	0	0	0	0	0
seq576	21	0	0	9	0	0	0	0	0	0	0	0
seq577	30	0	0	0	0	0	0	0	0	0	0	0
seq578	0	0	0	0	29	0	0	0	0	0	0	0
seq579	0	0	0	0	0	0	0	0	29	0	0	0
seq580	0	0	0	0	0	0	0	0	0	29	0	0
seq581	0	29	0	0	0	0	0	0	0	0	0	0
seq582	4	25	0	0	0	0	0	0	0	0	0	0
seq583	0	29	0	0	0	0	0	0	0	0	0	0
seq584	0	0	21	0	0	0	0	0	0	8	0	0
seq585	0	0	0	29	0	0	0	0	0	0	0	0
seq586	29	0	0	0	0	0	0	0	0	0	0	0
seq587	0	0	29	0	0	0	0	0	0	0	0	0
seq588	0	0	0	0	29	0	0	0	0	0	0	0
seq589	0	0	0	0	0	0	29	0	0	0	0	0
seq590	28	0	0	0	0	0	0	0	0	0	0	0
seq591	0	0	28	0	0	0	0	0	0	0	0	0
seq592	0	0	28	0	0	0	0	0	0	0	0	0
seq593	0	0	28	0	0	0	0	0	0	0	0	0
seq594	0	0	0	0	28	0	0	0	0	0	0	0
seq595	0	0	0	0	28	0	0	0	0	0	0	0
seq596	28	0	0	0	0	0	0	0	0	0	0	0
seq597	0	0	28	0	0	0	0	0	0	0	0	0
seq598	0	0	0	0	0	0	0	0	28	0	0	0
seq599	0	0	0	0	0	0	0	0	28	0	0	0
seq600	27	0	0	0	0	0	0	0	0	0	0	0
seq601	0	0	27	0	0	0	0	0	0	0	0	0
seq602	0	0	0	0	0	0	27	0	0	0	0	0
seq603	0	0	0	0	0	0	0	0	27	0	0	0
seq604	0	0	0	0	0	0	0	0	0	0	0	27
seq605	0	0	0	0	0	0	27	0	0	0	0	0
seq606	0	0	0	0	0	0	0	27	0	0	0	0
seq607	27	0	0	0	0	0	0	0	0	0	0	0
seq608	27	0	0	0	0	0	0	0	0	0	0	0
seq609	27	0	0	0	0	0	0	0	0	0	0	0
seq610	0	0	0	0	0	0	20	7	0	0	0	0
seq611	0	0	0	0	0	0	0	0	26	0	0	0
seq612	0	0	0	0	0	0	0	0	26	0	0	0
seq613	0	26	0	0	0	0	0	0	0	0	0	0
seq614	8	18	0	0	0	0	0	0	0	0	0	0
seq615	26	0	0	0	0	0	0	0	0	0	0	0
seq616	0	0	0	0	0	0	0	0	0	26	0	0
seq617	0	0	0	0	0	0	0	0	0	26	0	0
seq618	25	0	0	0	0	0	0	0	0	0	0	0
seq619	25	0	0	0	0	0	0	0	0	0	0	0
seq620	25	0	0	0	0	0	0	0	0	0	0	0
seq621	0	0	0	0	0	0	0	0	25	0	0	0
seq622	0	0	0	0	0	0	0	0	25	0	0	0
seq623	0	0	6	5	0	0	0	0	14	0	0	0
seq624	0	25	0	0	0	0	0	0	0	0	0	0
seq625	0	0	25	0	0	0	0	0	0	0	0	0
seq626	0	0	25	0	0	0	0	0	0	0	0	0
seq627	0	0	0	25	0	0	0	0	0	0	0	0
seq628	0	25	0	0	0	0	0	0	0	0	0	0
seq629	0	0	0	0	25	0	0	0	0	0	0	0
seq630	0	0	0	0	0	0	0	0	25	0	0	0
seq631	0	24	0	0	0	0	0	0	0	0	0	0
seq632	0	24	0	0	0	0	0	0	0	0	0	0
seq633	0	24	0	0	0	0	0	0	0	0	0	0
seq634	0	0	0	0	0	0	0	0	24	0	0	0
seq635	0	0	0	0	0	0	0	24	0	0	0	0
seq636	24	0	0	0	0	0	0	0	0	0	0	0
seq637	24	0	0	0	0	0	0	0	0	0	0	0
seq638	0	0	24	0	0	0	0	0	0	0	0	0
seq639	0	0	0	0	24	0	0	0	0	0	0	0
seq640	0	0	0	0	0	0	0	0	24	0	0	0
seq641	23	0	0	0	0	0	0	0	0	0	0	0
seq642	0	0	0	0	0	0	0	0	23	0	0	0
seq643	0	0	0	0	0	0	0	0	23	0	0	0
seq644	0	0	0	0	0	0	0	0	23	0	0	0
seq645	23	0	0	0	0	0	0	0	0	0	0	0
seq646	0	0	0	0	23	0	0	0	0	0	0	0
seq647	0	6	0	0	0	0	5	12	0	0	0	0
seq648	0	0	0	0	0	0	0	0	0	0	0	23
seq649	0	23	0	0	0	0	0	0	0	0	0	0
seq650	0	0	0	23	0	0	0	0	0	0	0	0
seq651	23	0	0	0	0	0	0	0	0	0	0	0
seq652	0	0	0	0	0	0	0	0	0	23	0	0
seq653	23	0	0	0	0	0	0	0	0	0	0	0
seq654	23	0	0	0	0	0	0	0	0	0	0	0
seq655	0	0	0	0	0	0	0	0	23	0	0	0
seq656	0	0	0	0	0	0	0	0	23	0	0	0
seq657	22	0	0	0	0	0	0	0	0	0	0	0
seq658	22	0	0	0	0	0	0	0	0	0	0	0
seq659	0	0	22	0	0	0	0	0	0	0	0	0
seq660	0	22	0	0	0	0	0	0	0	0	0	0
seq661	0	0	0	0	0	0	0	22	0	0	0	0
seq662	0	0	0	22	0	0	0	0	0	0	0	0
seq663	0	22	0	0	0	0	0	0	0	0	0	0
seq664	0	0	0	0	0	22	0	0	0	0	0	0
seq665	22	0	0	0	0	0	0	0	0	0	0	0
seq666	0	0	12	0	10	0	0	0	0	0	0	0
seq667	0	0	0	22	0	0	0	0	0	0	0	0
seq668	0	0	0	0	22	0	0	0	0	0	0	0
seq669	0	0	0	0	22	0	0	0	0	0	0	0
seq670	0	0	0	0	22	0	0	0	0	0	0	0
seq671	0	0	0	0	0	0	22	0	0	0	0	0
seq672	0	0	0	0	0	0	0	0	22	0	0	0
seq673	0	0	0	0	0	0	0	0	22	0	0	0
seq674	0	0	0	0	0	0	0	0	22	0	0	0
seq675	0	0	0	0	0	0	0	0	0	22	0	0
seq676	0	21	0	0	0	0	0	0	0	0	0	0
seq677	0	21	0	0	0	0	0	0	0	0	0	0
seq678	0	0	21	0	0	0	0	0	0	0	0	0
seq679	0	0	0	0	21	0	0	0	0	0	0	0
seq680	0	0	0	21	0	0	0	0	0	0	0	0
seq681	0	0	0	21	0	0	0	0	0	0	0	0
seq682	0	0	21	0	0	0	0	0	0	0	0	0
seq683	0	0	0	0	0	0	0	0	0	21	0	0
seq684	0	21	0	0	0	0	0	0	0	0	0	0
seq685	0	0	21	0	0	0	0	0	0	0	0	0
seq686	0	0	14	0	7	0	0	0	0	0	0	0
seq687	0	0	0	0	0	0	21	0	0	0	0	0
seq688	0	0	0	0	0	0	0	0	21	0	0	0
seq689	0	0	0	0	0	0	0	0	21	0	0	0
seq690	0	0	0	0	0	0	0	0	21	0	0	0
seq691	0	0	0	0	0	0	0	0	0	21	0	0
seq692	0	0	0	0	0	0	0	0	0	0	0	21
seq693	20	0	0	0	0	0	0	0	0	0	0	0
seq694	0	0	11	0	9	0	0	0	0	0	0	0
seq695	0	0	0	0	20	0	0	0	0	0	0	0
seq696	0	0	0	0	0	0	20	0	0	0	0	0
seq697	0	0	0	0	0	0	0	0	20	0	0	0
seq698	0	0	0	0	0	0	0	0	20	0	0	0
seq699	0	0	0	0	0	0	0	0	0	0	0	20
seq700	0	0	20	0	0	0	0	0	0	0	0	0
seq701	0	20	0	0	0	0	0	0	0	0	0	0
seq702	0	0	0	0	20	0	0	0	0	0	0	0
seq703	20	0	0	0	0	0	0	0	0	0	0	0
seq704	0	20	0	0	0	0	0	0	0	0	0	0
seq705	0	0	0	20	0	0	0	0	0	0	0	0
seq706	0	0	0	0	0	0	20	0	0	0	0	0
seq707	0	0	0	0	0	0	0	0	20	0	0	0
seq708	0	0	0	0	0	0	0	0	20	0	0	0
seq709	0	0	0	0	0	0	0	0	20	0	0	0
seq710	19	0	0	0	0	0	0	0	0	0	0	0
seq711	0	0	0	0	19	0	0	0	0	0	0	0
seq712	0	0	0	0	0	0	19	0	0	0	0	0
seq713	0	0	0	0	0	0	0	19	0	0	0	0
seq714	0	0	0	4	15	0	0	0	0	0	0	0
seq715	0	19	0	0	0	0	0	0	0	0	0	0
seq716	0	19	0	0	0	0	0	0	0	0	0	0
seq717	0	19	0	0	0	0	0	0	0	0	0	0
seq718	0	19	0	0	0	0	0	0	0	0	0	0
seq719	0	19	0	0	0	0	0	0	0	0	0	0
seq720	0	0	9	10	0	0	0	0	0	0	0	0
seq721	0	0	0	0	0	0	0	0	0	0	0	19
seq722	19	0	0	0	0	0	0	0	0	0	0	0
seq723	19	0	0	0	0	0	0	0	0	0	0	0
seq724	0	19	0	0	0	0	0	0	0	0	0	0
seq725	0	0	19	0	0	0	0	0	0	0	0	0
seq726	0	0	19	0	0	0	0	0	0	0	0	0
seq727	0	0	0	0	19	0	0	0	0	0	0	0
seq728	0	0	0	0	19	0	0	0	0	0	0	0
seq729	0	0	0	0	0	0	19	0	0	0	0	0
seq730	0	0	0	0	0	0	0	0	19	0	0	0
seq731	0	0	0	0	0	0	0	0	0	19	0	0
seq732	0	0	18	0	0	0	0	0	0	0	0	0
seq733	0	0	18	0	0	0	0	0	0	0	0	0
seq734	0	0	18	0	0	0	0	0	0	0	0	0
seq735	0	0	0	0	18	0	0	0	0	0	0	0
seq736	0	0	0	0	0	0	0	0	18	0	0	0
seq737	0	5	0	5	8	0	0	0	0	0	0	0
seq738	7	11	0	0	0	0	0	0	0	0	0	0
seq739	0	0	0	0	0	0	0	0	0	18	0	0
seq740	0	0	18	0	0	0	0	0	0	0	0	0
seq741	0	0	0	0	0	0	0	0	0	0	0	18
seq742	0	0	0	18	0	0	0	0	0	0	0	0
seq743	0	0	0	0	18	0	0	0	0	0	0	0
seq744	0	0	0	18	0	0	0	0	0	0	0	0
seq745	18	0	0	0	0	0	0	0	0	0	0	0
seq746	0	18	0	0	0	0	0	0	0	0	0	0
seq747	0	0	18	0	0	0	0	0	0	0	0	0
seq748	0	0	18	0	0	0	0	0	0	0	0	0
seq749	0	0	0	0	0	0	0	0	18	0	0	0
seq750	17	0	0	0	0	0	0	0	0	0	0	0
seq751	17	0	0	0	0	0	0	0	0	0	0	0
seq752	0	0	17	0	0	0	0	0	0	0	0	0
seq753	0	0	0	17	0	0	0	0	0	0	0	0
seq754	0	0	0	0	17	0	0	0	0	0	0	0
seq755	0	0	17	0	0	0	0	0	0	0	0	0
seq756	0	17	0	0	0	0	0	0	0	0	0	0
seq757	0	0	0	17	0	0	0	0	0	0	0	0
seq758	0	0	0	17	0	0	0	0	0	0	0	0
seq759	0	0	0	0	0	0	0	0	0	17	0	0
seq760	17	0	0	0	0	0	0	0	0	0	0	0
seq761	0	17	0	0	0	0	0	0	0	0	0	0
seq762	0	17	0	0	0	0	0	0	0	0	0	0
seq763	0	17	0	0	0	0	0	0	0	0	0	0
seq764	0	0	17	0	0	0	0	0	0	0	0	0
seq765	0	0	17	0	0	0	0	0	0	0	0	0
seq766	0	0	9	0	8	0	0	0	0	0	0	0
seq767	0	0	0	17	0	0	0	0	0	0	0	0
seq768	0	0	0	0	17	0	0	0	0	0	0	0
seq769	0	0	0	0	17	0	0	0	0	0	0	0
seq770	0	0	0	0	0	17	0	0	0	0	0	0
seq771	16	0	0	0	0	0	0	0	0	0	0	0
seq772	0	0	0	16	0	0	0	0	0	0	0	0
seq773	0	0	0	0	0	0	0	0	16	0	0	0
seq774	0	0	0	0	0	0	0	16	0	0	0	0
seq775	0	16	0	0	0	0	0	0	0	0	0	0
seq776	0	0	11	5	0	0	0	0	0	0	0	0
seq777	16	0	0	0	0	0	0	0	0	0	0	0
seq778	16	0	0	0	0	0	0	0	0	0	0	0
seq779	16	0	0	0	0	0	0	0	0	0	0	0
seq780	10	6	0	0	0	0	0	0	0	0	0	0
seq781	0	0	16	0	0	0	0	0	0	0	0	0
seq782	0	0	0	0	16	0	0	0	0	0	0	0
seq783	0	0	0	0	0	0	16	0	0	0	0	0
seq784	0	0	0	0	0	0	0	0	16	0	0	0
seq785	0	0	0	0	0	0	0	0	16	0	0	0
seq786	8	7	0	0	0	0	0	0	0	0	0	0
seq787	0	0	0	15	0	0	0	0	0	0	0	0
seq788	0	0	0	0	0	0	0	0	15	0	0	0
seq789	0	0	0	0	0	0	0	0	15	0	0	0
seq790	0	0	0	0	0	0	15	0	0	0	0	0
seq791	0	0	0	0	0	0	0	0	15	0	0	0
seq792	0	15	0	0	0	0	0	0	0	0	0	0
seq793	0	0	0	0	0	0	0	0	0	0	0	15
seq794	4	0	11	0	0	0	0	0	0	0	0	0
seq795	15	0	0	0	0	0	0	0	0	0	0	0
seq796	15	0	0	0	0	0	0	0	0	0	0	0
seq797	0	15	0	0	0	0	0	0	0	0	0	0
seq798	0	0	15	0	0	0	0	0	0	0	0	0
seq799	0	0	15	0	0	0	0	0	0	0	0	0
seq800	0	0	15	0	0	0	0	0	0	0	0	0
seq801	0	0	0	15	0	0	0	0	0	0	0	0
seq802	0	0	0	15	0	0	0	0	0	0	0	0
seq803	0	0	0	0	0	0	15	0	0	0	0	0
seq804	0	0	0	0	0	0	0	0	15	0	0	0
seq805	0	0	0	0	0	0	0	0	15	0	0	0
seq806	0	0	0	0	0	0	0	0	15	0	0	0
seq807	0	14	0	0	0	0	0	0	0	0	0	0
seq808	0	0	14	0	0	0	0	0	0	0	0	0
seq809	0	0	0	14	0	0	0	0	0	0	0	0
seq810	0	0	0	0	14	0	0	0	0	0	0	0
seq811	0	0	0	0	0	0	0	0	14	0	0	0
seq812	0	0	0	0	0	0	5	0	9	0	0	0
seq813	0	0	0	14	0	0	0	0	0	0	0	0
seq814	14	0	0	0	0	0	0	0	0	0	0	0
seq815	0	0	14	0	0	0	0	0	0	0	0	0
seq816	0	0	14	0	0	0	0	0	0	0	0	0
seq817	0	0	14	0	0	0	0	0	0	0	0	0
seq818	0	0	0	0	14	0	0	0	0	0	0	0
seq819	0	0	0	0	14	0	0	0	0	0	0	0
seq820	0	0	0	0	14	0	0	0	0	0	0	0
seq821	0	0	0	0	0	0	14	0	0	0	0	0
seq822	0	0	0	0	0	0	0	0	14	0	0	0
seq823	0	0	0	0	0	0	0	0	0	14	0	0
seq824	0	0	0	0	0	0	0	0	0	0	0	14
seq825	0	13	0	0	0	0	0	0	0	0	0	0
seq826	0	0	13	0	0	0	0	0	0	0	0	0
seq827	0	0	5	0	8	0	0	0	0	0	0	0
seq828	0	0	0	13	0	0	0	0	0	0	0	0
seq829	0	0	0	13	0	0	0	0	0	0	0	0
seq830	0	0	0	0	13	0	0	0	0	0	0	0
seq831	0	0	0	0	0	0	13	0	0	0	0	0
seq832	0	0	0	0	0	0	0	0	13	0	0	0
seq833	0	0	0	0	0	0	0	0	0	13	0	0
seq834	0	0	0	0	0	0	0	0	13	0	0	0
seq835	0	0	0	0	0	0	0	0	13	0	0	0
seq836	0	0	0	0	0	0	0	0	0	0	0	13
seq837	0	13	0	0	0	0	0	0	0	0	0	0
seq838	13	0	0	0	0	0	0	0	0	0	0	0
seq839	13	0	0	0	0	0	0	0	0	0	0	0
seq840	13	0	0	0	0	0	0	0	0	0	0	0
seq841	13	0	0	0	0	0	0	0	0	0	0	0
seq842	0	13	0	0	0	0	0	0	0	0	0	0
seq843	0	13	0	0	0	0	0	0	0	0	0	0
seq844	0	0	13	0	0	0	0	0	0	0	0	0
seq845	0	0	13	0	0	0	0	0	0	0	0	0
seq846	0	0	13	0	0	0	0	0	0	0	0	0
seq847	0	0	0	0	13	0	0	0	0	0	0	0
seq848	0	0	0	0	13	0	0	0	0	0	0	0
seq849	0	0	0	0	13	0	0	0	0	0	0	0
seq850	0	0	0	0	13	0	0	0	0	0	0	0
seq851	0	0	0	0	0	0	13	0	0	0	0	0
seq852	0	0	0	0	0	0	0	0	13	0	0	0
seq853	0	0	0	0	0	0	0	0	13	0	0	0
seq854	0	0	0	0	0	0	0	0	0	13	0	0
seq855	0	0	0	0	0	0	0	0	0	13	0	0
seq856	12	0	0	0	0	0	0	0	0	0	0	0
seq857	0	12	0	0	0	0	0	0	0	0	0	0
seq858	0	12	0	0	0	0	0	0	0	0	0	0
seq859	0	0	12	0	0	0	0	0	0	0	0	0
seq860	0	0	0	0	12	0	0	0	0	0	0	0
seq861	0	0	0	0	12	0	0	0	0	0	0	0
seq862	0	0	0	0	12	0	0	0	0	0	0	0
seq863	0	0	0	0	0	0	12	0	0	0	0	0
seq864	0	0	0	0	0	0	0	0	12	0	0	0
seq865	0	12	0	0	0	0	0	0	0	0	0	0
seq866	0	12	0	0	0	0	0	0	0	0	0	0
seq867	0	0	0	0	12	0	0	0	0	0	0	0
seq868	0	12	0	0	0	0	0	0	0	0	0	0
seq869	0	0	0	0	0	0	0	0	0	0	0	12
seq870	12	0	0	0	0	0	0	0	0	0	0	0
seq871	0	0	12	0	0	0	0	0	0	0	0	0
seq872	0	0	0	12	0	0	0	0	0	0	0	0
seq873	0	0	0	12	0	0	0	0	0	0	0	0
seq874	0	0	0	0	12	0	0	0	0	0	0	0
seq875	0	0	0	0	12	0	0	0	0	0	0	0
seq876	0	0	0	0	0	0	12	0	0	0	0	0
seq877	0	0	0	0	0	0	0	0	12	0	0	0
seq878	0	0	0	0	0	0	0	0	0	0	0	12
seq879	11	0	0	0	0	0	0	0	0	0	0	0
seq880	0	0	0	0	11	0	0	0	0	0	0	0
seq881	0	0	0	0	11	0	0	0	0	0	0	0
seq882	0	0	0	0	0	0	11	0	0	0	0	0
seq883	0	0	0	0	0	0	0	0	11	0	0	0
seq884	0	0	0	0	0	0	0	0	0	11	0	0
seq885	4	7	0	0	0	0	0	0	0	0	0	0
seq886	0	0	0	0	0	0	4	0	0	7	0	0
seq887	11	0	0	0	0	0	0	0	0	0	0	0
seq888	11	0	0	0	0	0	0	0	0	0	0	0
seq889	11	0	0	0	0	0	0	0	0	0	0	0
seq890	0	11	0	0	0	0	0	0	0	0	0	0
seq891	0	11	0	0	0	0	0	0	0	0	0	0
seq892	0	0	11	0	0	0	0	0	0	0	0	0
seq893	0	0	11	0	0	0	0	0	0	0	0	0
seq894	0	0	0	11	0	0	0	0	0	0	0	0
seq895	0	0	0	11	0	0	0	0	0	0	0	0
seq896	0	0	0	0	11	0	0	0	0	0	0	0
seq897	0	0	0	0	0	0	11	0	0	0	0	0
seq898	0	0	0	0	0	0	11	0	0	0	0	0
seq899	0	0	0	0	0	0	11	0	0	0	0	0
seq900	0	0	0	0	0	0	0	0	11	0	0	0
seq901	0	0	0	0	0	0	0	0	0	0	0	11
seq902	10	0	0	0	0	0	0	0	0	0	0	0
seq903	10	0	0	0	0	0	0	0	0	0	0	0
seq904	0	10	0	0	0	0	0	0	0	0	0	0
seq905	0	0	10	0	0	0	0	0	0	0	0	0
seq906	0	0	10	0	0	0	0	0	0	0	0	0
seq907	0	0	10	0	0	0	0	0	0	0	0	0
seq908	0	0	10	0	0	0	0	0	0	0	0	0
seq909	0	0	0	10	0	0	0	0	0	0	0	0
seq910	0	0	0	10	0	0	0	0	0	0	0	0
seq911	0	0	0	0	10	0	0	0	0	0	0	0
seq912	0	0	0	0	0	0	10	0	0	0	0	0
seq913	0	0	0	0	0	0	10	0	0	0	0	0
seq914	0	0	0	0	0	0	10	0	0	0	0	0
seq915	0	0	0	10	0	0	0	0	0	0	0	0
seq916	10	0	0	0	0	0	0	0	0	0	0	0
seq917	10	0	0	0	0	0	0	0	0	0	0	0
seq918	10	0	0	0	0	0	0	0	0	0	0	0
seq919	0	10	0	0	0	0	0	0	0	0	0	0
seq920	0	0	10	0	0	0	0	0	0	0	0	0
seq921	0	0	10	0	0	0	0	0	0	0	0	0
seq922	0	0	10	0	0	0	0	0	0	0	0	0
seq923	0	0	10	0	0	0	0	0	0	0	0	0
seq924	0	0	0	10	0	0	0	0	0	0	0	0
seq925	0	0	0	0	10	0	0	0	0	0	0	0
seq926	0	0	0	0	10	0	0	0	0	0	0	0
seq927	0	0	0	0	10	0	0	0	0	0	0	0
seq928	0	0	0	0	0	0	10	0	0	0	0	0
seq929	0	0	0	0	0	0	5	5	0	0	0	0
seq930	0	0	0	0	0	0	0	10	0	0	0	0
seq931	0	0	0	0	0	0	0	0	10	0	0	0
seq932	0	0	0	0	0	0	0	0	10	0	0	0
seq933	9	0	0	0	0	0	0	0	0	0	0	0
seq934	9	0	0	0	0	0	0	0	0	0	0	0
seq935	9	0	0	0	0	0	0	0	0	0	0	0
seq936	9	0	0	0	0	0	0	0	0	0	0	0
seq937	9	0	0	0	0	0	0	0	0	0	0	0
seq938	0	9	0	0	0	0	0	0	0	0	0	0
seq939	0	0	9	0	0	0	0	0	0	0	0	0
seq940	0	0	9	0	0	0	0	0	0	0	0	0
seq941	0	0	9	0	0	0	0	0	0	0	0	0
seq942	0	0	9	0	0	0	0	0	0	0	0	0
seq943	0	0	9	0	0	0	0	0	0	0	0	0
seq944	0	0	9	0	0	0	0	0	0	0	0	0
seq945	0	0	0	9	0	0	0	0	0	0	0	0
seq946	0	0	0	0	0	0	0	0	9	0	0	0
