	MST107_MiFiU_tag45	MST107_MiFiU_tag46	MST109_MiFiU_tag47	MST109_MiFiU_tag48	MST110_MiFiU_tag49	MST110_MiFiU_tag50	MST221_MiFiU_tag51	MST221_MiFiU_tag52	MST235_MiFiU_tag53	MST235_MiFiU_tag54	NC_MiFiU_tag55	PCMock_MiFiU_tag56
seq45	0	0	2399	105	834	0	0	0	0	0	0	0
seq46	0	0	0	0	0	0	139	0	3029	0	0	0
seq47	0	0	0	91	0	0	56	13	2366	631	0	0
seq48	0	0	49	111	125	0	416	266	1344	779	0	0
seq49	0	0	560	1391	253	214	297	356	0	0	0	0
seq50	0	0	659	2386	0	0	0	0	0	0	0	0
seq51	0	0	0	0	0	0	0	0	2988	0	0	0
seq52	228	2369	159	206	0	0	0	0	0	0	0	0
seq53	13	0	0	0	0	0	240	18	1430	1199	0	0
seq54	0	0	131	136	73	0	266	0	1578	615	0	0
seq55	0	0	0	132	69	12	148	82	1556	758	0	0
seq56	877	0	528	0	0	0	1153	0	0	0	0	0
seq57	215	157	282	705	330	31	106	21	349	142	0	0
seq58	103	0	336	0	1710	0	164	0	0	0	0	0
seq59	0	0	0	38	41	0	134	0	857	1122	0	0
seq60	0	0	0	0	193	0	70	0	814	1096	0	0
seq61	0	0	205	320	24	0	168	118	993	323	0	0
seq62	0	330	240	432	83	9	56	70	648	265	0	0
seq63	0	0	85	493	117	0	0	0	999	428	0	0
seq64	0	0	1274	0	484	0	233	0	0	0	0	0
seq65	0	0	30	0	147	0	401	0	1411	0	0	0
seq66	26	26	0	45	15	0	38	6	364	1461	0	0
seq67	0	0	359	402	347	33	391	0	0	441	0	0
seq68	0	204	396	796	0	0	387	142	0	0	0	0
seq69	0	0	0	80	0	0	0	0	1252	574	0	0
seq70	0	0	30	0	82	0	124	0	1660	0	0	0
seq71	0	0	0	0	0	1809	0	0	0	0	0	0
seq72	0	0	542	927	237	88	0	0	0	0	0	0
seq73	0	0	0	49	21	0	0	0	1449	199	0	0
seq74	0	0	250	536	43	0	330	68	359	108	0	0
seq75	0	33	0	5	7	0	0	0	924	532	0	0
seq76	0	0	0	0	0	0	0	0	1150	322	0	0
seq77	0	0	553	0	751	0	123	0	0	0	0	0
seq78	0	0	0	0	0	0	0	0	1070	340	0	0
seq79	156	263	9	0	0	0	72	0	693	167	0	0
seq80	0	60	0	0	0	0	50	0	704	528	0	0
seq81	0	0	14	0	0	0	50	14	880	353	0	0
seq82	162	0	500	0	120	0	501	0	0	0	0	0
seq83	501	0	104	0	0	0	0	0	677	0	0	0
seq84	21	87	0	133	71	0	49	11	795	98	0	0
seq85	0	0	68	0	0	0	0	0	553	612	0	0
seq86	2	0	60	455	0	0	22	0	493	180	0	0
seq87	0	0	0	0	799	0	402	0	0	0	0	0
seq88	0	0	343	0	176	0	625	0	0	0	0	0
seq89	0	0	533	0	266	0	335	0	0	0	0	0
seq90	0	104	54	142	86	64	39	0	592	46	0	0
seq91	0	0	57	127	49	34	0	0	595	207	0	0
seq92	0	19	9	339	0	0	347	133	0	200	0	0
seq93	0	0	0	56	0	0	0	0	707	280	0	0
seq94	0	0	23	146	47	0	40	0	604	179	0	0
seq95	0	0	0	0	0	0	96	5	694	225	0	0
seq96	1008	0	0	0	0	0	0	0	0	0	0	0
seq97	0	0	129	188	129	145	84	23	226	80	0	0
seq98	0	0	22	44	16	0	148	110	447	216	0	0
seq99	0	0	16	25	33	0	0	0	731	175	0	0
seq100	0	0	0	0	0	0	0	0	0	947	0	0
seq101	0	0	0	100	0	0	0	7	560	264	0	0
seq102	0	140	0	0	0	0	0	0	428	358	0	0
seq103	0	0	908	0	0	0	0	0	0	0	0	0
seq104	219	0	248	0	88	0	336	0	0	0	0	0
seq105	0	0	0	12	162	0	79	0	390	224	0	0
seq106	0	0	0	153	343	0	32	0	255	56	0	0
seq107	0	0	0	9	0	0	95	48	582	97	0	0
seq108	0	810	0	0	0	0	0	0	0	0	0	0
seq109	118	0	489	0	0	0	185	0	0	0	0	0
seq110	0	0	786	0	0	0	0	0	0	0	0	0
seq111	0	0	504	0	275	0	0	0	0	0	0	0
seq112	0	0	0	0	54	0	0	0	494	224	0	0
seq113	0	0	0	0	0	0	35	0	511	196	0	0
seq114	0	0	0	308	0	0	0	0	425	0	0	0
seq115	0	0	0	16	0	0	0	0	668	28	0	0
seq116	0	0	54	6	34	0	602	15	0	0	0	0
seq117	355	245	15	72	0	0	0	3	0	0	0	0
seq118	0	0	0	0	0	0	185	0	498	0	0	0
seq119	0	0	35	142	389	101	0	0	0	0	0	0
seq120	0	0	187	428	44	0	0	0	0	0	0	0
