pr_skema,U_Pr_Nr,Navn_Inds,skib,Inst,Dato_inds,Lok_omr01,Lok_omr02,lok_pos_lat,lok_pos_lon,max_Dyb,Dyb_Str_m,Vwf_mL,vandsoejllagd,Dyb_lagd01,Dyb_lagd02,delproe,tdspkt_inds,tdspkt_filt,tdspkt_indfr,dato_80C,Temp_Inds,vandhent_skyll,pose_udskf,vandpr_inds_samt_m,restv_pres_ud,ziplock_markeret,Bemaerkn,ark_year,file,typeorder,bioreplno,datenumber,setno,uniq_smplset_no,uniq_bioreplno
Skive_Fjord,MST021,geped,Limgrim,Midtjylland,12/09/2017,VIB_3727_00001,,56.622167,9.075833,5.6,1.0,740,yes,4.0,,,09:40,10:23,10:29,18/09/2017,15.7,yes,yes,fytoplankton,yes,yes,,,proevetagningsskema_VIB3727_00001_VIB3708_00001_NOR409_NOR5503_ARH170006,46,3,20170912,1,20170912-1,20170912-1.3
,MST044,Ulrich_B_Jensen,Limgrim,MST_Sjaelland,18/09/2017,KBH431,,55.862300,12.750267,50.5,1.0,1500,yes,16.1,,no,10:53,11:14,11:15,18/09/2017,14.4,yes,yes,plankton,yes,yes,,,proevetagningsskema_VSJ20925_DMU444_KBH431,54,1,20170918,1,20170918-1,20170918-1.1
,MST045,Ulrich_B_Jensen,Limgrim,MST_Sjaelland,18/09/2017,KBH431,,55.862300,12.750267,50.5,1.0,1500,yes,16.1,,no,10:53,11:24,11:25,18/09/2017,14.4,yes,yes,plankton,yes,yes,,,proevetagningsskema_VSJ20925_DMU444_KBH431,55,2,20170918,1,20170918-1,20170918-1.2
,MST046,Ulrich_B_Jensen,Limgrim,MST_Sjaelland,18/09/2017,KBH431,,55.862300,12.750267,50.5,1.0,1500,yes,16.1,,no,10:53,11:04,11:05,18/09/2017,14.4,yes,yes,plankton,yes,yes,,,proevetagningsskema_VSJ20925_DMU444_KBH431,56,3,20170918,1,20170918-1,20170918-1.3
,MST,jepni_benje,Penelope,Midtjylland,19/09/2017,RKB1_Ringkoebing_fjord,,56.076167,8.224333,3.3,1.0,unkn,yes,2.9,,no,06:40,,,15/05/2018,10.6,yes,yes,Fytoplanton,yes,yes,,,proevetagningsskema_MJY_RKB1_190917,29,1,20170919,1,20170919-1,20170919-1.1
,MST,jepni_benje,Penelope,Midtjylland,19/09/2017,RKB1_Ringkoebing_fjord,,56.076167,8.224333,3.3,1.0,unkn,yes,2.9,,no,06:40,,,15/05/2018,10.6,yes,yes,Fytoplanton,yes,yes,,,proevetagningsskema_MJY_RKB1_190917,30,2,20170919,1,20170919-1,20170919-1.2
,MST,jepni_benje,Penelope,Midtjylland,19/09/2017,RKB1_Ringkoebing_fjord,,56.076167,8.224333,3.3,1.0,unkn,yes,2.9,,no,06:40,,,15/05/2018,10.6,yes,yes,Fytoplanton,yes,yes,,,proevetagningsskema_MJY_RKB1_190917,31,3,20170919,1,20170919-1,20170919-1.3
,MST118,jepni_benje,Penelope,Midtjylland,19/09/2017,RKB1_Ringkoebing_fjord,,56.076167,8.224333,3.3,1.0,1150,yes,2.1,,no,11:27,12:25,12:36,19/09/2017,15.0,yes,yes,Fytoplanton,yes,yes,,2018,proevetagningsskema_MJY_RKB1_190917,206,1,20170919,2,20170919-2,20170919-2.1
,MST119,jepni_benje,Penelope,Midtjylland,19/09/2017,RKB1_Ringkoebing_fjord,,56.076167,8.224333,3.3,1.0,1400,yes,2.1,,no,11:27,12:42,12:45,19/09/2017,15.0,yes,yes,Fytoplanton,yes,yes,,2018,proevetagningsskema_MJY_RKB1_190917,207,2,20170919,2,20170919-2,20170919-2.2
,MST117,jepni_benje,Penelope,Midtjylland,19/09/2017,RKB1_Ringkoebing_fjord,,56.076167,8.224333,3.3,1.0,1450,yes,2.1,,no,11:27,13:00,13:17,19/09/2017,15.0,yes,yes,Fytoplanton,yes,yes,,2018,proevetagningsskema_MJY_RKB1_190917,208,3,20170919,2,20170919-2,20170919-2.3
,MST030,Jane_Robertsen,LIV_II,FYN,20/09/2017,VEJ0006870_Nordlige_Lillebaelt,,55.674383,10.090417,19.6,1.0,1400,yes,9.5,,no,08:20,08:45,08:55,20/09/2017,14.3,yes,yes,Fyto,yes,yes,Tidspunktet_for_proevetagningen_vil_i_Arop_filen_vise_0753UTC_det_er_ikke_det_rigtige_tidspunkt_for_proevetagningen,,proevetagningsskema_VEJ0006870,38,1,20170920,1,20170920-1,20170920-1.1
,MST031,Jane_Robertsen,LIV_II,FYN,20/09/2017,VEJ0006870_Nordlige_Lillebaelt,,55.674383,10.090417,19.6,1.0,1300,yes,9.5,,no,08:20,09:14,09:16,20/09/2017,14.3,yes,yes,Fyto,yes,yes,Tidspunktet_for_proevetagningen_vil_i_Arop_filen_vise_0753UTC_det_er_ikke_det_rigtige_tidspunkt_for_proevetagningen,,proevetagningsskema_VEJ0006870,39,2,20170920,1,20170920-1,20170920-1.2
,MST032,Jane_Robertsen,LIV_II,FYN,20/09/2017,VEJ0006870_Nordlige_Lillebaelt,,55.674383,10.090417,19.6,1.0,800,yes,9.5,,no,08:20,08:33,08:35,20/09/2017,14.3,yes,yes,Fyro,yes,yes,Tidspunktet_for_proevetagningen_vil_i_Arop_filen_vise_0753UTC_det_er_ikke_det_rigtige_tidspunkt_for_proevetagningen,,proevetagningsskema_VEJ0006870,40,3,20170920,1,20170920-1,20170920-1.3
,MST028,JAROB_20629477,LIV_II,Fyn,25/09/2017,FYN6300043_Sydlige_Lillebaelt,,54.997667,10.160333,35.6,1.0,1350,yes,5.0,21.0,no,06:26,06:49,06:52,25/09/2017,15.5,yes,yes,Fytoplanton,yes,yes,,,proevetagningsskema_FYN6300043,19,1,20170925,1,20170925-1,20170925-1.1
,MST029,JAROB_20629477,LIV_II,Fyn,25/09/2017,FYN6300043_Sydlige_Lillebaelt,,54.997667,10.160333,35.6,1.0,1400,yes,5.0,21.0,no,06:26,07:06,07:08,25/09/2017,15.5,yes,yes,Fytoplanton,yes,yes,,,proevetagningsskema_FYN6300043,20,2,20170925,1,20170925-1,20170925-1.2
,MST033,JAROB_20629477,LIV_II,Fyn,25/09/2017,FYN6300043_Sydlige_Lillebaelt,,54.997667,10.160333,35.6,1.0,1275,yes,5.0,21.0,no,06:26,07:20,07:22,25/09/2017,15.5,yes,yes,Fytoplanton,yes,yes,,,proevetagningsskema_FYN6300043,21,3,20170925,1,20170925-1,20170925-1.3
,MST048,Ole_Blohm_Poulsen_olbpo,Belone_Belone,MST_Fyn,09/10/2017,FYN6900017,,55.478250,10.518183,10.2,1.0,1100,yes,1.6,,,10:20,10:43,10:45,09/10/2017,10.9,yes,yes,Fytoplankton,yes,yes,,,proevetagningsskema_FYN6900047,25,1,20171009,1,20171009-1,20171009-1.1
,MST049,Ole_Blohm_Poulsen_olbpo,Belone_Belone,MST_Fyn,09/10/2017,FYN6900017,,55.478250,10.518183,10.2,1.0,1150,yes,1.6,,,10:20,11:14,11:17,09/10/2017,10.9,yes,yes,Fytoplankton,yes,yes,,,proevetagningsskema_FYN6900047,26,2,20171009,1,20171009-1,20171009-1.2
,MST036,Ole_Blohm_Poulsen_olbpo,Belone_Belone,MST_Fyn,09/10/2017,FYN6900017,,55.478250,10.518183,10.2,1.0,1100,yes,1.6,,,10:20,11:48,11:50,09/10/2017,10.9,yes,yes,Fytoplankton,yes,yes,,,proevetagningsskema_FYN6900047,27,3,20171009,1,20171009-1,20171009-1.3
,MST133,Finn_Andersen,M_Gaardbo,MST_NJL,10/10/2017,NOR7715,,57.607833,9.915333,17.0,1.0,1350,yes,3m,,no,10:00,11:00,11:30,10/10/2017,13.0,yes,yes,fytoplankton,yes,yes,,,proevetagningsskema_NOR7715,33,1,20171010,1,20171010-1,20171010-1.1
,MST137,Finn_Andersen,M_Gaardbo,MST_NJL,10/10/2017,NOR7715,,57.607833,9.915333,17.0,1.0,1350,yes,3m,,no,10:00,11:30,12:00,10/10/2017,13.0,yes,yes,fytoplankton,yes,yes,,,proevetagningsskema_NOR7715,34,2,20171010,1,20171010-1,20171010-1.2
,MST131,Finn_Andersen,M_Gaardbo,MST_NJL,10/10/2017,NOR7715,,57.607833,9.915333,17.0,1.0,1350,yes,3m,,no,10:00,12:00,12:30,10/10/2017,13.0,yes,yes,fytoplankton,yes,yes,,,proevetagningsskema_NOR7715,35,3,20171010,1,20171010-1,20171010-1.3
BRKBMPK2,MST039,Steen_Krogsboell_stkro,aaboen,Miljoestyrelsen_Storstroem,19/10/2017,BRKBMPK2_910_Bornholm_aabne_del,,55.250000,55.250017,89.0,1.0,1400,yes,30.0,,,11:10,12:10,12:10,18/11/2017,11.3,yes,yes,fytoplankton,yes,no,i_hvert_fald_med_med_unikt_nr_,2018,proevetagningsskema_BRKBMPK2,161,1,20171019,1,20171019-1,20171019-1.1
BRKBMPK2,MST040,Steen_Krogsboell_stkro,aaboen,Miljoestyrelsen_Storstroem,19/10/2017,BRKBMPK2_910_Bornholm_aabne_del,,55.250000,55.250017,89.0,1.0,1200,yes,30.0,,,11:10,12:40,12:40,18/11/2017,11.3,yes,yes,fytoplankton,yes,no,i_hvert_fald_med_med_unikt_nr_MINDST_12_liter_idet_der_var_en_lille_laek,2018,proevetagningsskema_BRKBMPK2,162,2,20171019,1,20171019-1,20171019-1.2
BRKBMPK2,MST041,Steen_Krogsboell_stkro,aaboen,Miljoestyrelsen_Storstroem,19/10/2017,BRKBMPK2_910_Bornholm_aabne_del,,55.250000,55.250017,89.0,1.0,1450,yes,30.0,,,11:10,13:30,13:30,18/11/2017,11.3,yes,yes,fytoplankton,yes,no,i_hvert_fald_med_med_unikt_nr_,2018,proevetagningsskema_BRKBMPK2,163,3,20171019,1,20171019-1,20171019-1.3
,MST067,JAROB_20629477,LIV_II,Sydjylland,21/03/2018,Flensborg_Fjord,,54.842127,9.819387,29.6,28.6,1000,no,not_avail,,no,13:30,13:49,13:51,22/03/2018,1.0,yes,yes,Bundfauna,yes,yes,Afleveret_til_Eurofins_d_223_2018,2017,proevetagningsskema_FFSB0011,248,1,20180321,1,20180321-1,20180321-1.1
,MST081,JAROB_20629477,LIV_II,Sydjylland,21/03/2018,Flensborg_Fjord,,54.842127,9.819387,29.6,28.6,1350,no,not_avail,,no,13:30,14:13,14:15,22/03/2018,1.0,yes,yes,Bundfauna,yes,yes,Afleveret_til_Eurofins_d_223_2018,2017,proevetagningsskema_FFSB0011,249,2,20180321,1,20180321-1,20180321-1.2
,MST051,JAROB_20629477,LIV_II,Sydjylland,21/03/2018,Flensborg_Fjord,,54.842127,9.819387,29.6,28.6,1350,no,not_avail,,no,13:30,14:32,14:34,22/03/2018,1.0,yes,yes,Bundfauna,yes,yes,Afleveret_til_Eurofins_d_223_2018,2017,proevetagningsskema_FFSB0011,250,3,20180321,1,20180321-1,20180321-1.3
,MST284,PHELD,DAPHNE,MST_SJaeLLAND,03/04/2018,Isefjordens_yderbredning,,55.867500,11.787833,10.1,8.6,1500,yes,8.5,,,15:12,15:25,15:26,03/04/2018,2.1,yes,yes,Bundfauna,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,129,1,20180403,1,20180403-1,20180403-1.1
,MST289,PHELD,DAPHNE,MST_SJaeLLAND,03/04/2018,Isefjordens_yderbredning,,55.867500,11.787833,10.1,8.6,1500,yes,8.5,,,15:12,15:45,15:46,03/04/2018,2.1,yes,yes,Bundfauna,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,130,2,20180403,1,20180403-1,20180403-1.2
,MST287,PHELD,DAPHNE,MST_SJaeLLAND,03/04/2018,Isefjordens_yderbredning,,55.867500,11.787833,10.1,8.6,1500,yes,8.5,,,15:12,16:09,16:10,03/04/2018,2.1,yes,yes,Bundfauna,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,131,3,20180403,1,20180403-1,20180403-1.3
,MST284,PHELD,DAPHNE,MST_SJaeLLAND,03/04/2018,Isefjordens_yderbredning,,55.867500,11.787833,10.1,8.6,1500,yes,8.5,,,15:12,15:25,15:26,03/04/2018,2.1,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_BF_IN_N_og_BF_Karrebaeksminde_bugt,260,1,20180403,2,20180403-2,20180403-2.1
,MST289,PHELD,DAPHNE,MST_SJaeLLAND,03/04/2018,Isefjordens_yderbredning,,55.867500,11.787833,10.1,8.6,1500,yes,8.5,,,15:12,15:45,15:46,03/04/2018,2.1,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_BF_IN_N_og_BF_Karrebaeksminde_bugt,261,2,20180403,2,20180403-2,20180403-2.2
,MST287,PHELD,DAPHNE,MST_SJaeLLAND,03/04/2018,Isefjordens_yderbredning,,55.867500,11.787833,10.1,8.6,1500,yes,8.5,,,15:12,16:09,16:10,03/04/2018,2.1,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_BF_IN_N_og_BF_Karrebaeksminde_bugt,262,3,20180403,2,20180403-2,20180403-2.3
,MST058,JAROB_20629477,LIV_II,Sydjylland,05/04/2018,Vejle_Fjord,,55.703333,9.668333,7.6,6.6,900,no,not_avail,,na,10:15,10:36,10:38,18/04/2018,2.1,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_VF,172,1,20180405,1,20180405-1,20180405-1.1
,MST057,JAROB_20629477,LIV_II,Sydjylland,05/04/2018,Vejle_Fjord,,55.703333,9.668333,7.6,6.6,850,no,not_avail,,na,10:15,10:55,10:57,18/04/2018,2.1,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_VF,173,2,20180405,1,20180405-1,20180405-1.2
,MST059,JAROB_20629477,LIV_II,Sydjylland,05/04/2018,Vejle_Fjord,,55.703333,9.668333,7.6,6.6,950,no,not_avail,,na,10:15,11:15,11:17,18/04/2018,2.1,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_VF,174,3,20180405,1,20180405-1,20180405-1.3
Hevring_Bugt,MST068,ulbje,Musling,oestjylland,16/04/2018,Hevring_Bugt,,56.625617,10.590433,13.5,12.5,1100,yes,10.0,,no,11:15,11:37,11:38,17/04/2018,4.3,yes,yes,Bundfauna,yes,yes,,2017,Proevetagning_musling,60,1,20180416,1,20180416-1,20180416-1.1
Hevring_Bugt,MST062,ulbje,Musling,oestjylland,16/04/2018,Hevring_Bugt,,56.625617,10.590433,13.5,12.5,1100,yes,10.0,,no,11:15,11:49,11:55,17/04/2018,4.3,yes,yes,Bundfauna,yes,yes,,2017,Proevetagning_musling,61,2,20180416,1,20180416-1,20180416-1.2
Hevring_Bugt,MST064,ulbje,Musling,oestjylland,16/04/2018,Hevring_Bugt,,56.625617,10.590433,13.5,12.5,1100,yes,10.0,,no,11:15,12:04,12:09,17/04/2018,4.3,yes,yes,Bundfauna,yes,yes,,2017,Proevetagning_musling,62,3,20180416,1,20180416-1,20180416-1.3
,MST097,PHELD,DAPHNE,MST_STORSTRoeM,18/04/2018,Karrebaeksminde_Bugt,,55.139000,11.515833,12.6,11.6,1500,yes,2.5,,,17:37,18:05,18:06,25/04/2018,5.4,yes,yes,Bundfauna,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,132,1,20180418,1,20180418-1,20180418-1.1
,MST098,PHELD,DAPHNE,MST_STORSTRoeM,18/04/2018,Karrebaeksminde_Bugt,,55.139000,11.515833,12.6,11.6,1500,yes,2.5,,,17:37,18:17,18:18,25/04/2018,5.4,yes,yes,Bundfauna,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,133,2,20180418,1,20180418-1,20180418-1.2
,MST099,PHELD,DAPHNE,MST_STORSTRoeM,18/04/2018,Karrebaeksminde_Bugt,,55.139000,11.515833,12.6,11.6,1500,yes,2.5,,,17:37,18:31,18:32,25/04/2018,5.4,yes,yes,Bundfauna,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,134,3,20180418,1,20180418-1,20180418-1.3
,MST055,JAROB_20629477,LIV_II,Fyn,24/04/2018,DSoe,,55.027358,10.377598,16.2,15.4,1200,no,not_avail,,no,10:53,11:14,11:16,08/05/2018,8.9,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_2,286,1,20180424,1,20180424-1,20180424-1.1
,MST079,JAROB_20629477,LIV_II,Fyn,24/04/2018,DSoe,,55.027358,10.377598,16.2,15.4,1425,no,not_avail,,no,10:53,11:29,11:31,08/05/2018,8.9,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_2,287,2,20180424,1,20180424-1,20180424-1.2
,MST078,JAROB_20629477,LIV_II,Fyn,24/04/2018,DSoe,,55.027358,10.377598,16.2,15.4,1450,no,not_avail,,no,10:53,11:49,11:51,08/05/2018,8.9,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_2,288,3,20180424,1,20180424-1,20180424-1.3
,MST055,JAROB_20629477,LIV_II,Fyn,24/04/2018,DSoe,,55.027358,10.377598,16.2,15.4,1200,no,not_avail,,no,10:53,11:14,11:16,08/05/2018,8.9,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_6500351,315,1,20180424,2,20180424-2,20180424-2.1
,MST079,JAROB_20629477,LIV_II,Fyn,24/04/2018,DSoe,,55.027358,10.377598,16.2,15.4,1425,no,not_avail,,no,10:53,11:29,11:31,08/05/2018,8.9,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_6500351,316,2,20180424,2,20180424-2,20180424-2.2
,MST078,JAROB_20629477,LIV_II,Fyn,24/04/2018,DSoe,,55.027358,10.377598,16.2,15.4,1450,no,not_avail,,no,10:53,11:49,11:51,08/05/2018,8.9,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_6500351,317,3,20180424,2,20180424-2,20180424-2.3
VIB_3702-00001,MST084,ulbje,Musling,Midtjylland,25/04/2018,Nissum_bredning,,56.600833,8.414833,6.1,5.0,700,no,,,no,15:55,16:25,16:26,26/04/2018,8.3,yes,yes,Bundfauna,yes,yes,Opslemmet_sediment_pga_blaest,2017,Proevetagning_musling,64,1,20180425,1,20180425-1,20180425-1.1
VIB_3702-00001,MST072,ulbje,Musling,Midtjylland,25/04/2018,Nissum_bredning,,56.600833,8.414833,6.1,5.0,400,no,,,no,15:55,16:38,16:39,26/04/2018,8.3,yes,yes,Bundfauna,yes,yes,Opslemmet_sediment_pga_blaest,2017,Proevetagning_musling,65,2,20180425,1,20180425-1,20180425-1.2
VIB_3702-00001,MST050,ulbje,Musling,Midtjylland,25/04/2018,Nissum_bredning,,56.600833,8.414833,6.1,5.0,400,no,,,no,15:55,16:49,16:50,26/04/2018,8.3,yes,yes,Bundfauna,yes,yes,Opslemmet_sediment_pga_blaest,2017,Proevetagning_musling,66,3,20180425,1,20180425-1,20180425-1.3
,MST052,Vagn_Pedersen,Liv_ll,MST_FYN,03/05/2018,Storebaelt_NV,,55.440283,10.803883,18.6,17.6,1675,yes,8.6,,,05:51,06:19,06:23,08/05/2018,5.7,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_Kerteminde_bugt,230,1,20180503,1,20180503-1,20180503-1.1
,MST083,Vagn_Pedersen,Liv_ll,MST_FYN,03/05/2018,Storebaelt_NV,,55.440283,10.803883,18.6,17.6,1700,yes,8.6,,,05:51,06:41,06:43,08/05/2018,5.7,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_Kerteminde_bugt,231,2,20180503,1,20180503-1,20180503-1.2
,MST063,Vagn_Pedersen,Liv_ll,MST_FYN,03/05/2018,Storebaelt_NV,,55.440283,10.803883,18.6,17.6,1750,yes,8.6,,,05:51,06:58,07:00,08/05/2018,5.7,yes,yes,Bundfauna,yes,yes,,2017,proevetagningsskema_Kerteminde_bugt,232,3,20180503,1,20180503-1,20180503-1.3
,MST093,PHELD,DAPHNE,MST_SJaeLLAND,14/05/2018,oeresund_Ven_KBH431,,55.865833,12.749167,53.5,1.0,1500,yes,11.4,,,10:31,11:13,11:14,14/05/2018,13.0,yes,yes,zooplankton_fytoplankton,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,135,1,20180514,1,20180514-1,20180514-1.1
,MST100,PHELD,DAPHNE,MST_SJaeLLAND,14/05/2018,oeresund_Ven_KBH431,,55.865833,12.749167,53.5,1.0,1500,yes,11.4,,,10:31,11:00,11:01,14/05/2018,13.0,yes,yes,zooplankton_fytoplankton,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,136,2,20180514,1,20180514-1,20180514-1.2
,MST298,PHELD,DAPHNE,MST_SJaeLLAND,14/05/2018,oeresund_Ven_KBH431,,55.865833,12.749167,53.5,1.0,1500,yes,11.4,,,10:31,11:29,11:30,14/05/2018,13.0,yes,yes,zooplankton_fytoplankton,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,137,3,20180514,1,20180514-1,20180514-1.3
,MST066,Jane_Robertsen,Liv_II,MST_FYN,14/05/2018,FYN6300043_Sydlige_Lillebaelt,,54.997777,10.160775,34.6,1.0,1400,yes,18.0,,no,05:02,05:31,05:33,16/05/2018,12.1,yes,yes,Fyto,yes,yes,Sendt_til_Eurofins_d_16_05_2018,2017,proevetagningsskema_FYN6300043_140518,242,1,20180514,2,20180514-2,20180514-2.1
,MST065,Jane_Robertsen,Liv_II,MST_FYN,14/05/2018,FYN6300043_Sydlige_Lillebaelt,,54.997777,10.160775,34.6,1.0,1350,yes,18.0,,no,05:02,05:45,05:47,16/05/2018,12.1,yes,yes,Fyto,yes,yes,Sendt_til_Eurofins_d_16_05_2018,2017,proevetagningsskema_FYN6300043_140518,243,2,20180514,2,20180514-2,20180514-2.2
,MST080,Jane_Robertsen,Liv_II,MST_FYN,14/05/2018,FYN6300043_Sydlige_Lillebaelt,,54.997777,10.160775,34.6,1.0,1525,yes,18.0,,no,05:02,05:59,06:01,16/05/2018,12.1,yes,yes,Fyto,yes,yes,Sendt_til_Eurofins_d_16_05_2018,2017,proevetagningsskema_FYN6300043_140518,244,3,20180514,2,20180514-2,20180514-2.3
,MST092,Ulrich_Berggren_Jensen,Daphne,MSE,15/05/2018,VSJ20925,,56.131333,11.157833,49.0,1.0,1500,yes,4.0,,no,09:10,09:35,09:37,15/05/2018,12.8,yes,yes,Fyto,yes,yes,,2017,proevetagningsskema_VSJ20925_150518,166,1,20180515,1,20180515-1,20180515-1.1
,MST101,Ulrich_Berggren_Jensen,Daphne,MSE,15/05/2018,VSJ20925,,56.131333,11.157833,49.0,1.0,1500,yes,4.0,,no,09:10,09:48,09:49,15/05/2018,12.8,yes,yes,Fyto,yes,yes,,2017,proevetagningsskema_VSJ20925_150518,167,2,20180515,1,20180515-1,20180515-1.2
,MST288,Ulrich_Berggren_Jensen,Daphne,MSE,15/05/2018,VSJ20925,,56.131333,11.157833,49.0,1.0,1500,yes,4.0,,no,09:10,10:06,10:08,15/05/2018,12.8,yes,yes,Fyto,yes,yes,,2017,proevetagningsskema_VSJ20925_150518,168,3,20180515,1,20180515-1,20180515-1.3
,MST070,Jane_Robertsen,Liv_II,MST_oestjylland,15/05/2018,ARH170006_Molshoved_Aarhus_bugt,,56.154870,10.318345,16.4,1.0,1500,yes,2.5,6.5,no,10:17,10:37,10:39,16/05/2018,14.6,yes,yes,Fyto_Zoo,yes,yes,Sendt_til_Eurofins_d_16_05_2018,2017,proevetagningsskema_ARH170006_15052018,275,1,20180515,2,20180515-2,20180515-2.1
,MST077,Jane_Robertsen,Liv_II,MST_oestjylland,15/05/2018,ARH170006_Molshoved_Aarhus_bugt,,56.154870,10.318345,16.4,1.0,1450,yes,2.5,6.5,no,10:17,10:53,10:55,16/05/2018,14.6,yes,yes,Fyto_Zoo,yes,yes,Sendt_til_Eurofins_d_16_05_2018,2017,proevetagningsskema_ARH170006_15052018,276,2,20180515,2,20180515-2,20180515-2.2
