pr_skema,U_Pr_Nr,Navn_Inds,skib,Inst,Dato_inds,Lok_omr01,Lok_omr02,lok_pos_lat,lok_pos_lon,max_Dyb,Dyb_Str_m,Vwf_mL,vandsoejllagd,Dyb_lagd01,Dyb_lagd02,delproe,tdspkt_inds,tdspkt_filt,tdspkt_indfr,dato_80C,Temp_Inds,vandhent_skyll,pose_udskf,vandpr_inds_samt_m,restv_pres_ud,ziplock_markeret,Bemaerkn,ark_year,file,typeorder,bioreplno,datenumber,setno,uniq_smplset_no,uniq_bioreplno
,MST012,Alex_Kristensen,Daphne,MST_Sjaelland,29/08/2017,VSJ20925,,56.132217,11.157867,49.0,1.0,1100,yes,12.0,,no,07:42,08:10,08:25,29/08/2017,17.8,yes,yes,plankton,yes,yes,,,proevetagningsskema_VSJ20925_DMU444_KBH431,51,1,20170829,1,20170829-1,20170829-1.1
,MST015,Alex_Kristensen,Daphne,MST_Sjaelland,29/08/2017,VSJ20925,,56.132217,11.157867,49.0,1.0,1100,yes,12.0,,no,07:42,07:50,07:55,29/08/2017,17.8,yes,yes,plankton,yes,yes,,,proevetagningsskema_VSJ20925_DMU444_KBH431,52,2,20170829,1,20170829-1,20170829-1.2
,MST017,Alex_Kristensen,Daphne,MST_Sjaelland,29/08/2017,VSJ20925,,56.132217,11.157867,49.0,1.0,600,yes,12.0,,no,07:42,08:45,08:50,29/08/2017,17.8,yes,yes,plankton,yes,yes,,,proevetagningsskema_VSJ20925_DMU444_KBH431,53,3,20170829,1,20170829-1,20170829-1.3
,MST003,Alex_Kristensen,Daphne,MST_Fyn,30/08/2017,DMU_444_Arkona,,54.999617,13.299867,50.0,1.0,1500,yes,25.0,,no,10:51,11:12,11:13,30/08/2017,18.7,yes,yes,plankton,yes,yes,,,proevetagningsskema_VSJ20925_DMU444_KBH431,49,1,20170830,1,20170830-1,20170830-1.1
,MST014,Alex_Kristensen,Daphne,MST_Fyn,30/08/2017,DMU_444_Arkona,,54.999617,13.299867,50.0,1.0,1600,yes,25.0,,no,10:51,11:27,11:30,30/08/2017,18.7,yes,yes,plankton,yes,yes,,,proevetagningsskema_VSJ20925_DMU444_KBH431,50,2,20170830,1,20170830-1,20170830-1.2
,MST122,Lasse_oersted_Jensen,Klausen,MST_Sydjylland,05/09/2017,RIB1510007,,55.337500,8.350667,5.2,1.0,1200,no,,,no,08:05,08:14,08:26,,18.3,yes,yes,Nej,yes,yes,,,EDNA_1510007_2017,14,1,20170905,1,20170905-1,20170905-1.1
,MST120,Lasse_oersted_Jensen,Klausen,MST_Sydjylland,05/09/2017,RIB1510007,,55.337500,8.350667,5.2,1.0,1450,no,,,no,08:29,08:34,08:47,,18.3,yes,yes,Nej,yes,yes,,,EDNA_1510007_2017,15,2,20170905,1,20170905-1,20170905-1.2
,MST121,Lasse_oersted_Jensen,Klausen,MST_Sydjylland,05/09/2017,RIB1510007,,55.337500,8.350667,5.2,1.0,1450,no,,,no,08:50,08:53,09:08,,18.3,yes,yes,Nej,yes,yes,,,EDNA_1510007_2017,16,3,20170905,1,20170905-1,20170905-1.3
Skive_Fjord,MST019,geped,Limgrim,Midtjylland,12/09/2017,VIB_3727_00001,,56.622167,9.075833,5.6,1.0,710,yes,4.0,,,09:40,10:55,11:00,18/09/2017,15.7,yes,yes,fytoplankton,yes,yes,,,proevetagningsskema_VIB3727_00001_VIB3708_00001_NOR409_NOR5503_ARH170006,44,1,20170912,1,20170912-1,20170912-1.1
Skive_Fjord,MST020,geped,Limgrim,Midtjylland,12/09/2017,VIB_3727_00001,,56.622167,9.075833,5.6,1.0,640,yes,4.0,,,09:40,11:20,11:23,18/09/2017,15.7,yes,yes,fytoplankton,yes,yes,,,proevetagningsskema_VIB3727_00001_VIB3708_00001_NOR409_NOR5503_ARH170006,45,2,20170912,1,20170912-1,20170912-1.2
